Topic,Studies
Alzheimer's Disease,"Hydrogen-rich water ameliorates neuropathological impairments in a mouse model of Alzheimer’s ...2022 - Brain - Alzheimer's DiseaseHydrogen exhibits the potential to treat Alzheimer's disease. Stereotactic injection has been previously used as an invasive method of administering active hydrogen, but this method has limitations in clinical practice. In this study, triple ...

Hydrogen-rich saline reduces oxidative stress and inflammation by inhibit of JNK and NF-kappa B ...2011 - Brain - Alzheimer's DiseaseThis study is to examine if hydrogen-rich saline reduced amyloid-beta (A beta) induced neural inflammation and oxidative stress in a rat model by attenuation of activation of JNK and NF-kappa B. Sprague-Dawley male rats (n = 18,280-330 g) were ...

Hydrogen-rich saline improves memory function in a rat model of amyloid-beta-induced ...2010 - Brain - Alzheimer's DiseaseThis study is to examine if hydrogen-rich saline reduced amyloid beta (Abeta) induced neural inflammation, and learning and memory deficits in a rat model. S-D male rats (n=84, 280-330g) were divided into three groups, sham-operated, Abeta1-42 ..."
Amyloid Beta Toxicity,"Hydrogen-rich water ameliorates neuropathological impairments in a mouse model of Alzheimer’s ...2022 - Brain - Alzheimer's DiseaseHydrogen exhibits the potential to treat Alzheimer's disease. Stereotactic injection has been previously used as an invasive method of administering active hydrogen, but this method has limitations in clinical practice. In this study, triple ...

Hydrogen-rich saline reduces oxidative stress and inflammation by inhibit of JNK and NF-kappa B ...2011 - Brain - Alzheimer's DiseaseThis study is to examine if hydrogen-rich saline reduced amyloid-beta (A beta) induced neural inflammation and oxidative stress in a rat model by attenuation of activation of JNK and NF-kappa B. Sprague-Dawley male rats (n = 18,280-330 g) were ...

Hydrogen-rich saline improves memory function in a rat model of amyloid-beta-induced ...2010 - Brain - Alzheimer's DiseaseThis study is to examine if hydrogen-rich saline reduced amyloid beta (Abeta) induced neural inflammation, and learning and memory deficits in a rat model. S-D male rats (n=84, 280-330g) were divided into three groups, sham-operated, Abeta1-42 ..."
Amyotrophic Laterial Sclerosis,
Anxiety,"Effects of hydrogen water and psychological treatment in a sample of women with panic disorder: a ...2022 - Brain - AnxietyResearch suggests that inflammation is an important mediator in the pathophysiology of anxiety disorders. In addition, women are more likely to develop an anxiety and depression disorder, in comorbidity with a wide spectrum of diseases related to the ...

Natural reduced water suppressed anxiety and protected the heightened oxidative stress in rats2017 - Brain - AnxietyBackground: In Japan, the effects of reduced water, such as hydrogen-rich electrolyzed reduced water and natural reduced water, like Hita Tenryosui water®, have been examined. The purpose of the present study was to identify the role of natural ..."
Aplastic Anemia,
Asphyxial Encephalopathy,"Molecular hydrogen alleviates asphyxia-induced neuronal cyclooxygenase-2 expression in newborn pigs2018 - Brain - Brain InjuryCyclooxygenase-2 (COX-2) has an established role in the pathogenesis of hypoxic-ischemic encephalopathy (HIE). In this study we sought to determine whether COX-2 was induced by asphyxia in newborn pigs, and whether neuronal COX-2 levels were affected ..."
Asthma,"Molecular hydrogen alleviates asthma through inhibiting IL-33/ILC2 axis2021 - Lung - AsthmaBackground: Asthma is one of the most common noninfectious chronic diseases characterized by type II inflammation. This study aimed to investigate the effects of molecular hydrogen on the pathogenesis of asthma. Methods: OVA sensitized asthma mouse ...

Hydrogen Attenuates Allergic Inflammation by Reversing Energy Metabolic Pathway Switch2020 - Lung - AsthmaMechanisms mediating the protective effects of molecular hydrogen (H2) are not well understood. This study explored the possibility that H2 exerts its anti-inflammatory effect by modulating energy metabolic pathway switch. Activities of glycolytic ...

The combination of alkaline water provision and asthma-induced gymnastics towards peak expiratory ...2019 - Lung - AsthmaBackground: Asthma is an abnormality in the form of chronic airway inflammation which can be reduced by providing asthma-induced gymnastics and healthy lifestyle such as consuming alkaline water.Aims: The objective of this study is to examine a ..."
Atherosclerosis,"Administration of hydrogen-saturated saline decreases plasma low-density lipoprotein cholesterol ...2012 - Heart - AtherosclerosisHydrogen (dihydrogen; H(2)) has an antiatherosclerotic effect in apolipoprotein (apo) E knockout mice. The goals of this study were to further characterize the effects of H(2) on the content, composition, and biological activities of plasma ...

Consumption of hydrogen water prevents atherosclerosis in apolipoprotein E knockout mice2008 - Heart - AtherosclerosisOxidative stress is implicated in atherogenesis; however most clinical trials with dietary antioxidants failed to show marked success in preventing atherosclerotic diseases. We have found that hydrogen (dihydrogen; H(2)) acts as an effective ..."
Atrophy,"Therapeutic Potential of Hydrogen-Rich Water on Muscle Atrophy Caused by Immobilization in a Mouse ...2023 - Muscle - Disuse AtrophySkeletal muscle atrophy is associated with poor quality of life and disability. Thus, finding a new strategy for the prevention and treatment of skeletal muscle atrophy is very crucial. This study aimed to investigate the therapeutic potential of ..."
Auditory Neuropathy,"Inhalation of hydrogen gas attenuates ouabain-induced auditory neuropathy in gerbils2012 - Ear - Hearing LossAim: Auditory neuropathy (AN) is a hearing disorder characterized by abnormal auditory nerve function with preservation of normal cochlear hair cells. This study was designed to investigate whether treatment with molecular hydrogen (H(2)), which can ..."
Autism Spectrum Disorder,"Hydrogen-Rich Water Ameliorates Autistic-Like Behavioral Abnormalities in Valproic Acid-Treated ...2018 - Brain - Autism Spectrum DisorderDue to its anti-inflammatory and anti-oxidative effects, recent research has demonstrated that molecular hydrogen can serve as a new medical approach for depression, anxiety and traumatic brain injury. However, its potential effects on ..."
Bacterial Infection,"Hydrogen helps to ameliorate Staphylococcus aureus-induced mastitis in mice2022 - Breast - MastitisMany studies have shown that hydrogen has anti-inflammatory and anti-oxidant effects. Because of its ability to quickly pass through cell membranes, hydrogen has become a hot spot in the research of inflammatory diseases. Vitamin E glycerin (VEG) and ...

Antibacterial effect of electrolysed acid water on the nasal discharge from patients with chronic ...2010 - Nose - RhinosinusitisThis study was conducted to determine whether electrolysed acid water (EAW) increased the antibacterial effect of irrigating solution used in the management of chronic rhinosinusitis (CRS). One hundred CRS patients were recruited from April 2008 to ...

Antibacterial effect of electrolyzed water on oral bacteria2006 - Mouth - PeriodontitisThis study investigated the antibacterial effect of electrolyzed water on oral bacteria both in vitro and in vivo. Tap water was electrolyzed in a water vessel using platinum cell technology. The electrolyzed tap water (called Puri-water) was put in ...

The bactericidal effects of electrolyzed oxidizing water on bacterial strains involved in hospital ...2003 - Whole Body - Surgery/TransplantationThe study is designed to investigate bactericidal actions of electrolyzed oxidizing water on hospital infections. Ten of the most common opportunistic pathogens are used for this study. Cultures are inoculated in 4.5 mL of electrolyzed oxidizing (EO) ...

Management with Closed Irrigation for Post-Sternotomy Mediastinitis: Experience with the Use of ...2003 - Whole Body - Surgery/TransplantationThe aim of this study was to assess the adequacy of our treatment strategy for patients with post-sternotomy mediastinitis. Between May 1997 and December 2000, 1,045 consecutive adult cardiac operations were performed at our center. Mediastinitis ..."
Bile Duct Injury,"Hydrogen-rich saline protects against liver injury in rats with obstructive jaundice2010 - Liver - Obstructive JaundiceHydrogen selectively reduces levels of hydroxyl radicals and alleviates acute oxidative stress in many models. Hydrogen-rich saline provides a high concentration of hydrogen that can be easily and safely applied. In this study, we investigated the ..."
Bladder Outlet Obstruction,
Blunt Chest Trauma,
Brain Injury,"Hydrogen-Rich Saline-A Novel Neuroprotective Agent in a Mouse Model of Experimental Cerebral ...2023 - Brain - Brain InjuryBackground: Our previous research revealed that inflammation plays an important role in the pathophysiology of cerebral ischemia. The function of the NOD-like receptor protein 3 (NLRP3) inflammasome is to activate the inflammatory process. Recent ...

Hydrogen gas post-conditioning alleviates cognitive dysfunction and anxiety-like behavior in a rat ...2021 - Brain - Brain InjurySubarachnoid hemorrhage (SAH) results in high rates of mortality and lasting disability. Hydrogen gas (H2) is an antioxidant with demonstrated neuroprotective efficacy. The present study examined the therapeutic efficacy of H2 inhalation on early ..."
Bronchopulmonary Dysplasia,
Cancer,"RNA sequencing analysis reveals apoptosis induction by hydrogen treatment in endometrial cancer via ...2020 - Uterus - CancerBackground: To evaluate the activity of hydrogen in endometrial cancer and elucidate its underlying molecular mechanisms. Methods: Ishikawa, HEC1A and AN3CA cells were incubated in DMEM medium with or without hydrogen. RNA sequencing was used to ..."
Candida Yeast Infection,"Efficacy of newly developed denture cleaning device on physical properties of denture material and ...2019 - Mouth - Denture CareBackground/purpose: Electrolyzed water has antimicrobial activity against oral microbes. The purpose of this study was to investigate the effects of a denture cleaning device that uses electrolyzed water on Candida biofilm on denture base-material ...

Antifungal effects of hydrogen water on the growth of Candida albicans2019 - Mouth - Fungal InfectionObjectives: This study assessed the antifungal effects of neutral electrolysis hydrogen water, an agent known for its oral anti-bacterial effects on the growth of C. albicans in vitro. Methods: Hydrogen water, denture cleansing agent, and Listerine® ..."
Cardiac Arrest,"Hydrogen therapy after resuscitation improves myocardial injury involving inhibition of autophagy in ...2022 - Heart - Cardiac ArrestHydrogen (H2) therapy is a therapeutic strategy using molecular H2. Due to its ability to regulate cell homeostasis, H2 therapy has exhibited marked therapeutic effects on a number of oxidative stress-associated diseases. The present study ...

The neuroprotective effects of intraperitoneal injection of hydrogen in rabbits with cardiac arrest2013 - Brain - Cardiac ArrestObjective: The purpose of this study was to investigate the neuroprotective effects of intraperitoneal injection of hydrogen (H2) in rabbits with cardiac arrest (CA). Methods: A rabbit model of CA was established by the delivery of alternating ..."
Cardiac Degeneration,"Histopathological influence of alkaline ionized water on myocardial muscle of mother rats1999 - Heart - Cardiac DegenerationWe have reported that a marked necrosis and subsequent fibrosis of myocardium occurred among male rats 15 weeks old given alkaline ionized water (AKW) during gestation and suckling periods, and after weaning. In this study, it was examined whether ..."
Cardiac Hypertrophy,"Hydrogen Attenuates Thyroid Hormone-Induced Cardiac Hypertrophy in Rats by regulating angiotensin II ...2022 - Heart - Cardiac HypertrophyCardiac hypertrophy occurs as a result of high levels of thyroid hormone, which may contribute to heart failure and is closely related to oxidative stress. Hydrogen is a good antioxidant. In this study, we found that intragastric levothyroxine ..."
Cardiomyopathy,"Treatment with hydrogen molecule attenuates cardiac dysfunction in streptozotocin-induced diabetic ...2015 - Heart - DiabetesIntroduction: Diabetic cardiomyopathy, a disorder of the heart muscle in diabetic patients, is one of the major causes of heart failure. The aim of present study was to investigate the therapeutic effect of hydrogen molecule on streptozotocin-induced ..."
Cardiovascular Disease,
Cataract,"Molecular Hydrogen Attenuated N-methyl-N-Nitrosourea Induced Corneal Endothelial Injury by ...2021 - Eye - Corneal InjuryPurpose: Previous work by our group has demonstrated the value of N-methyl-N-nitrosourea (MNU)-induced corneal endothelial decompensation in animal models. The aim of this study was to investigate the effect of molecular hydrogen (H2) on MNU-induced ...

Hydrogen saline prevents selenite-induced cataract in rats2013 - Eye - Corneal InjuryThe aim of this study was to investigate the potential antioxidative effect and mechanism for the protective effects of hydrogen saline on selenite-induced cataract in rats. Sprague-Dawley rat pups were divided into the following groups: control ..."
Cavities,
Chagas Disease,Electrolyzed Oxidizing Water Modulates the Immune Response in BALB/c Mice Experimentally Infected ...2020 - Whole Body - Parasite InfectionChagas disease is a major public health problem in Latin America. The mixed Th1/Th2 immune response is required against Trypanosoma cruzi. Electrolyzed oxidizing water (EOW) has been shown to have germicidal efficacy. The objective of this study was ...
Chronic Fatigue Syndrome,
Chronic Heart Failure,
Chronic Kidney Disease,"Molecular Hydrogen Suppresses Renal Injury in Chronic Kidney Disease Rats2018 - Kidney - Chronic Kidney DiseaseBackground: Cathode side commercial hydrogen dissolved water (HW) exhibits low dissolved oxygen, high dissolved hydrogen and significant negative redox potential. Therapeutic applications of HW have recently been reported. Thus, the present study ..."
Chronic Obstructive Pulmonary Disease,"Can Hydrogen Water Enhance Oxygen Saturation in Patients with Chronic Lung Disease? A ...2023 - Lung - Chronic Obstructive Pulmonary DiseaseBackground: Recently, chronic lung diseases have been found to be associated with marked inflammation and oxidative stress, which leads to fibrosis in the lungs and chronic respiratory failure. This study aims to determine if hydrogen-rich water ...

The effects of hydrogen treatment in a cigarette smoke solution-induced chronic obstructive ...2022 - Lung - Chronic Obstructive Pulmonary DiseaseBackground: Molecular hydrogen, with its antioxidant and anti-inflammatory properties, may be suitable for the prevention and treatment of chronic obstructive pulmonary disease (COPD). This study aims to investigate the therapeutic efficacy of ...

Effect of hydrogen inhalation on IL-40 and SIgA in a Rat Model of Pulmonary Mucosal Immunity2020 - Lung - Chronic Obstructive Pulmonary DiseaseBackground Recently, some researchers have reported that PIgR expression is down-regulated in Chronic Obstructive Pulmonary Disease (COPD) and SIgA deficiency correlates with severity of airflow obstruction. What’ s more, some studies have ..."
Cognitive Impairment,Comprehensive brain tissue metabolomics and biological network technology to decipher the mechanism ...2023 - Brain - RadioprotectionBackground: Hydrogen-rich water (HRW) has been shown to prevent cognitive impairment caused by ionizing radiation. This study aimed to investigate the pharmacological effects and mechanisms of HRW on ionizing radiation by coupling the brain ...
Colitis,
Coma,
Concussion,
Congenital Obstructive Nephropathy,
Constipation,
Corneal Injury,"Prophylactic Instillation of Hydrogen-Rich Water Decreases Corneal Inflammation and Promotes Wound ...2022 - Eye - Corneal InjuryMany studies have demonstrated the therapeutic effects of hydrogen in pathological conditions such as inflammation; however, little is known about its prophylactic effects. The purpose of this study is to investigate the prophylactic effects of ...

Molecular Hydrogen Attenuated N-methyl-N-Nitrosourea Induced Corneal Endothelial Injury by ...2021 - Eye - Corneal InjuryPurpose: Previous work by our group has demonstrated the value of N-methyl-N-nitrosourea (MNU)-induced corneal endothelial decompensation in animal models. The aim of this study was to investigate the effect of molecular hydrogen (H2) on MNU-induced ...

Retracted: An Immunohistochemical Study of the Increase in Antioxidant Capacity of Corneal ...2020 - Eye - Corneal InjuryCorneal alkali burns are potentially blinding injuries. Alkali induces oxidative stress in corneas followed by excessive corneal inflammation, neovascularization, and untransparent scar formation. Molecular hydrogen (H2), a potent reactive oxygen ...

Retracted: Molecular Hydrogen Effectively Heals Alkali-Injured Cornea via Suppression of Oxidative ...2017 - Eye - Corneal InjuryThe aim of this study was to examine the effect of molecular hydrogen (H2) on the healing of alkali-injured cornea. The effects of the solution of H2 in phosphate buffered saline (PBS) or PBS alone topically applied on the alkali-injured rabbit ...

Hydrogen saline prevents selenite-induced cataract in rats2013 - Eye - Corneal InjuryThe aim of this study was to investigate the potential antioxidative effect and mechanism for the protective effects of hydrogen saline on selenite-induced cataract in rats. Sprague-Dawley rat pups were divided into the following groups: control ..."
Cosmetic Skin Issues,"Effect and mechanism of hydrogen-rich bath on mice with imiquimod-induced psoriasis2023 - Skin - Cosmetic Skin IssuesThe purpose of this study was to investigate whether hydrogen-rich bath has therapeutic effect on psoriasis and its molecular mechanism. Mice with imiquimod-induced psoriasis were established and divided into groups. The mice were respectively ...

Hydrogen-rich bath with nano-sized bubbles improves antioxidant capacity based on oxygen radical ...2021 - Skin - Cosmetic Skin IssuesThis study compared the effects of hydrogen-water (HW) bath on the oxygen radical absorption-based antioxidant capacity and the inflammatory indicator, C-reactive protein (CRP), in serum between healthy volunteers and inflammatory/collagen ...

Effects of hydrogen-rich water bath on visceral fat and skin blotch, with boiling-resistant hydrogen ...2019 - Skin - Cosmetic Skin IssuesHydrogen-dissolved water has been shown to improve diverse oxidation stress-related diseases, which drove us to examine effects of hydrogen-rich water on oxidation stress-related skin troubles and lipid-metabolism markers. The purpose of this study ...

Electrolytically generated hydrogen warm water cleanses the keratin-plug-clogged hair-pores and ...2018 - Skin - Cosmetic Skin IssuesBiomedical properties of hydrogen water have been extensively investigated, but the effect of hydrogen on good healthy subjects remains unclear. This study was designed to explore the hygiene improvement by electrolytically generated hydrogen warm ...

The Efficacy and Tolerability of Electrolyzed Oxidized Water in Treating Mild to Moderate Acne2004 - Skin - Cosmetic Skin IssuesThe purpose of this study was to determine the efficacy and the tolerability of the Charme™ system, a hand-held device that electrolyzes a water-based sodium chloride solution and delivers electrolyzed oxidized water (EOW) to the skin, in the ..."
Dehydration,Hydrogen-rich water ameliorates rat placental stress induced by water restriction2018 - Pregnancy - DehydrationDehydration is one of the intrauterine abnormalities that could lead to fetal growth retardation and to increase the risk of a variety of adult diseases later in life. This study were to determine the impact of hydrogen-rich water (HRW) ...
Dementia,Effects of Molecular Hydrogen Assessed by an Animal Model and a Randomized Clinical Study on Mild ...2018 - Brain - DementiaBackground: Oxidative stress is one of the causative factors in the pathogenesis of neurodegenerative diseases including mild cognitive impairment (MCI) and dementia. We previously reported that molecular hydrogen (H2) acts as a therapeutic and ...
Dentin Integrity,"Effect of different acidities of electrolyzed water on dentin surface roughness, decalcification and ...2016 - Mouth - Dentin IntegrityThis study investigated the exposed coronal superficial dentin of 28 human molars were immersed in strongly acidic electrolyzed water (AW group), neutral electrolyzed water (NW group), 5% sodium hypochlorite (negative control, NL group), or deionized ...

Cleaning efficacy and dentin micro-hardness after root canal irrigation with a strong acid ...2006 - Mouth - Dentin IntegrityThe purpose of this study was to evaluate the cleaning effect of root canal walls using strong acid electrolytic water (SAEW) as a root canal irrigant, and to investigate the influence of SAEW on the root canal dentin by micro-hardness test. ...

Bactericidal effect of electrolyzed neutral water on bacteria isolated from infected root canals1999 - Mouth - Dentin IntegrityThe purposes of this study were to examine the time-related changes in pH, oxidation-reduction potential, and concentration of chlorine of electrolyzed neutral water and to evaluate the bactericidal effect of electrolyzed neutral water against ..."
Depression,
Dermatitis,"Hydrogen water ameliorates the severity of atopic dermatitis-like lesions and decreases ...2017 - Skin - DermatitisObjectives: To examine the effect of hydrogen water (HW) on the severity of atopic dermatitis (AD) and elucidate the underlying pathophysiological mechanisms. Methods: For this experimental study between March 2015 and December 2015, NC/Nga mice ...

Positive Effects of hydrogen water on 2,4-dinitrochlorobenzene-induced atopic dermatitis in NC/Nga ...2014 - Skin - DermatitisAtopic dermatitis (AD) is a chronically relapsing, pruritic, eczematous skin disorder accompanying allergic inflammation. AD is triggered by oxidative stress and immune imbalance. In the present study, we investigated the effect of drinking hydrogen ..."
Dermatophagoides farinae exposure,
Diabetes (Type I),"Hydrogen Improves Glycemic Control in Type1 Diabetic Animal Model by Promoting Glucose Uptake into ...2013 - Whole Body - Diabetes (Type I)Hydrogen (H(2)) acts as a therapeutic antioxidant. However, there are few reports on H(2) function in other capacities in diabetes mellitus (DM). Therefore, in this study, we investigated the role of H(2) in glucose transport by studying cultured ..."
Diabetes (Type II),"Electrolyzed hydrogen-rich water for oxidative stress suppression and improvement of insulin ...2021 - Whole Body - Diabetes (Type II)Introduction: Electrolyzed hydrogen-rich water (EHW) is known to have suppressive effects on oxidative stress (OS). However, its benefit in type 2 diabetes mellitus (T2DM) remains unclear. This study aimed to investigate the effect of EHW on T2DM. ...

Influence of natural reduced water on relevant tests parameters and reactive oxygen species ...2006 - Whole Body - Diabetes (Type II)The study examined changes in the relevant tests parameters of 320 diabetes patients (176 female, 144 male) drinking natural reduced water from the 'Nordenau Spring' in Nordenau, Germany as well as the correlation of these changes with the ...

Changes in the Relevant Test Parameters of 101 Diabetes Patients under the Influence of the ...2002 - Whole Body - Diabetes (Type II)The study examined changes in the test parameters of 101 diabetes patients (56 female, 45 male) under the influence of what is known as the “Nordenau Phenomenon”, which attributes a healing effect to an old slate tunnel with an underground ..."
Diabetic Nephropathy,
Diabetic Peripheral Neuropathy,
Diabetic Retinopathy,Protective Effects of Hydrogen Saline on Diabetic Retinopathy in a Streptozotocin-Induced Diabetic ...2012 - Eye - DiabetesDiabetic retinopathy is the leading cause of blindness in the working population of the developed countries and also a significant cause of blindness in the elderly. This study aimed at examining the protective effect of H(2) saline on diabetic ...
Diarrhea,"Effects of Alkaline-Reduced Drinking Water on Irritable Bowel Syndrome with Diarrhea: A Randomized ...2018 - Intestine - Irritable Bowel SyndromeObjectives: The purpose of this study was to investigate whether the ingestion of alkaline-reduced water (ARW) is helpful in improving the symptoms of diarrhea-predominant irritable bowel syndrome (IBS). Methods: Twenty-seven patients (male, 25.9%; ..."
Diffuse Axonal Injury,
Disuse Atrophy,"Therapeutic Potential of Hydrogen-Rich Water on Muscle Atrophy Caused by Immobilization in a Mouse ...2023 - Muscle - Disuse AtrophySkeletal muscle atrophy is associated with poor quality of life and disability. Thus, finding a new strategy for the prevention and treatment of skeletal muscle atrophy is very crucial. This study aimed to investigate the therapeutic potential of ..."
Dry Eye,"Randomized, crossover clinical efficacy trial in humans and mice on tear secretion promotion and ...2021 - Eye - Dry EyeThe incidence of dry eye disease is increasing worldwide because of the aging population and increasing use of information technology. Dry eye disease manifests as tear-layer instability and inflammation caused by osmotic hypersensitization in tear ..."
Dyslipidemia,
Dyspnea,
Edema,
Encapsulating Peritoneal Sclerosis,
Encephalopathy,"Hydrogen-rich saline reverses oxidative stress, cognitive impairment, and mortality in rats ...2012 - Brain - SepsisBackground: Sepsis is associated with high morbidity and mortality, and survivors can present with cognitive dysfunction. The present study was performed to investigate the effects of hydrogen-rich saline (HRS) on oxidative stress in the brain, ..."
Endometriosis,Effects of Hydrogen Gas Inhalation on Endometriosis in Rats2016 - Uterus - EndometriosisObjective: Oxidative stress is generated during the pathophysiology of endometriosis (EMT). Hydrogen (H2) has been demonstrated as a gas antioxidant. The aim of the present study is to evaluate the protective effect of H2 on EMT in rats. Study ...
Endothelial Dysfunction,
Endotoxemia,Effects of Post-Treatment Hydrogen Gas Inhalation on Uveitis Induced by Endotoxin in Rats2018 - Eye - Uveal InjuryBACKGROUND Molecular hydrogen (H2) has been widely reported to have benefiicial effects in diverse animal models and human disease through reduction of oxidative stress and inflammation. The aim of this study was to investigate whether hydrogen gas ...
Enteropathy,
Epithelial Dysfunction,
Erectile Dysfunction,
Erythema,
Excercise,"Acute pre-exercise hydrogen rich water intake does not improve running performance at maximal ...2022 - Whole Body - ExcercisePurpose: This study investigated the effects of acute, pre-exercise, hydrogen rich water (HRW) ingestion on running time to exhaustion at maximal aerobic speed in trained track and field runners. Methods: Twenty-four, male runners aged 17.5 ± 1.8 ...

Effects of Intestinal Bacterial Hydrogen Gas Production on Muscle Recovery following Intense ...2022 - Intestine - ExcerciseThis study aimed to examine the effects of hydrogen gas (H2) produced by intestinal microbiota on participant conditioning to prevent intense exercise-induced damage. In this double-blind, randomized, crossover study, participants ingested ...

The Acute Effects of a Single Dose of Molecular Hydrogen Supplements on Responses to Ergogenic ...2022 - Whole Body - ExcerciseThis research examined the effects of single-dose molecular hydrogen (H2) supplements on acid-base status and local muscle deoxygenation during rest, high-intensity intermittent training (HIIT) performance, and recovery. Ten healthy, trained subjects ...

Molecular Hydrogen Mitigates Performance Decrement during Repeated Sprints in Professional Soccer ...2022 - Whole Body - ExcerciseHydrogen-rich water (HRW) supplementation has been shown to have an antifatigue effect across different modes of exercise. However, its effect on repeated sprint performance is unknown. The aim of this study was to assess the effect of pre-exercise ..."
Excitotoxicity,
