Topic,Description,Category,Studies_Count
SyndromePancreatitisPanic,"Research studies related to SyndromePancreatitisPanic",Other,10
DisorderParaplegiaParkinson's,"Research studies related to DisorderParaplegiaParkinson's",Neurological,38
DiseasePemphigusPeriodontitisPeripheral,"Research studies related to DiseasePemphigusPeriodontitisPeripheral",Other,8
DiseasePlacental,"Research studies related to DiseasePlacental",Other,4
DiseasePolycystic,"Research studies related to DiseasePolycystic",Other,29
SyndromePoor,"Research studies related to SyndromePoor",Other,31
PainPostsurgical,"Research studies related to PainPostsurgical",Other,43
InjuryRetinal,"Research studies related to InjuryRetinal",Other,45
ArthritisRhinitisRhinosinusitis,"Research studies related to ArthritisRhinitisRhinosinusitis",Musculoskeletal,46
SeizureSensorineural,"Research studies related to SeizureSensorineural",Neurological,31
InjurySprainStatus,"Research studies related to InjurySprainStatus",Other,23
UlcerStroke,"Research studies related to UlcerStroke",Cardiovascular,19
InjuryTracheal,"Research studies related to InjuryTracheal",Other,45
InjuryTraumatic,"Research studies related to InjuryTraumatic",Other,49
InfectionUreteral,"Research studies related to InfectionUreteral",Immune,1
InjuryVitiligo,"Research studies related to InjuryVitiligo",Other,32
