Topic,Studies
Amyloid Beta Toxicity,"Hydrogen-rich water ameliorates neuropathological impairments in a mouse model of Alzheimer’s ...2022 - Brain - Alzheimer's DiseaseHydrogen exhibits the potential to treat Alzheimer's disease. Stereotactic injection has been previously used as an invasive method of administering active hydrogen, but this method has limitations in clinical practice. In this study, triple ...

Sustained release of bioactive hydrogen by Pd hydride nanoparticles overcomes Alzheimer’s ...2019 - Brain - Alzheimer's DiseaseOxidative stress-induced mitochondrial dysfunction plays an important role in the pathogenesis of Alzheimer's disease (AD). Hydrogen molecule, a special antioxidant, can selectively scavenge highly cytotoxic reactive oxygen species such as ·OH, ...

Hydrogen-rich water improves cognitive impairment gender-dependently in APP/PS1 mice without ...2018 - Brain - Alzheimer's DiseaseAlzheimer's disease (AD) is characterised as a provoked inflammatory response and oxidative stress along with amyloid β peptide (Aβ) deposition and neurofibrillary tangles in the brain, and effective treatment is greatly needed. Molecular hydrogen, ...

Electrolyzed-reduced water mitigates amyloid beta toxicity via DAF-16 in C. elegans2016 - Brain - Alzheimer's DiseaseAlzheimer’s disease is an age-related neurodegenerative disease. Extracellular aggregation of amyloid beta is a well-known hallmark of Alzheimer’s disease and believed to be critical for the development of Alzheimer’s disease. Lots of efforts ...

Hydrogen-rich water attenuates amyloid β-induced cytotoxicity through upregulation of Sirt1-FoxO3a ...2015 - Brain - Alzheimer's DiseaseAmyloid β (Aβ) peptides are identified in cause of neurodegenerative diseases such as Alzheimer's disease (AD). Previous evidence suggests Aβ-induced neurotoxicity is linked to the stimulation of reactive oxygen species (ROS) production. The ...

Hydrogen-rich saline reduces oxidative stress and inflammation by inhibit of JNK and NF-kappa B ...2011 - Brain - Alzheimer's DiseaseThis study is to examine if hydrogen-rich saline reduced amyloid-beta (A beta) induced neural inflammation and oxidative stress in a rat model by attenuation of activation of JNK and NF-kappa B. Sprague-Dawley male rats (n = 18,280-330 g) were ...

Hydrogen-rich saline improves memory function in a rat model of amyloid-beta-induced ...2010 - Brain - Alzheimer's DiseaseThis study is to examine if hydrogen-rich saline reduced amyloid beta (Abeta) induced neural inflammation, and learning and memory deficits in a rat model. S-D male rats (n=84, 280-330g) were divided into three groups, sham-operated, Abeta1-42 ..."
Amyotrophic Laterial Sclerosis,"Treatment with Hydrogen-Rich Saline Delays Disease Progression in a Mouse Model of Amyotrophic ...2015 - Brain - Amyotrophic Laterial SclerosisAmyotrophic lateral sclerosis (ALS) is the most frequent adult-onset motor neuron disease, and accumulating evidence indicates that oxidative mechanisms contribute to ALS pathology, but classical antioxidants have not performed well in clinical ..."
Anxiety,"Effects of hydrogen water and psychological treatment in a sample of women with panic disorder: a ...2022 - Brain - AnxietyResearch suggests that inflammation is an important mediator in the pathophysiology of anxiety disorders. In addition, women are more likely to develop an anxiety and depression disorder, in comorbidity with a wide spectrum of diseases related to the ...

Hydrogen-rich water for improvements of mood, anxiety, and autonomic nerve function in daily life2018 - Brain - AnxietyHealth and a vibrant life are sought by everyone. To improve quality of life (QOL), maintain a healthy state, and prevent various diseases, evaluations of the effects of potentially QOL-increasing factors are important. Chronic oxidative stress and ...

Natural reduced water suppressed anxiety and protected the heightened oxidative stress in rats2017 - Brain - AnxietyBackground: In Japan, the effects of reduced water, such as hydrogen-rich electrolyzed reduced water and natural reduced water, like Hita Tenryosui water®, have been examined. The purpose of the present study was to identify the role of natural ..."
Aplastic Anemia,Therapeutic Effects of Hydrogen-Rich Solution on Aplastic Anemia in Vivo2013 - Bone Marrow - Immune DysfunctionBackground: Aplasitc anemia (AA) is a bone marrow failure syndrome characterized by an immune-mediated destruction of hematopoietic stem cells. Though clinical symptoms could be ameliorated by bone marrow transplantation and/or immunosuppressive ...
Asphyxial Encephalopathy,"Molecular hydrogen alleviates asphyxia-induced neuronal cyclooxygenase-2 expression in newborn pigs2018 - Brain - Brain InjuryCyclooxygenase-2 (COX-2) has an established role in the pathogenesis of hypoxic-ischemic encephalopathy (HIE). In this study we sought to determine whether COX-2 was induced by asphyxia in newborn pigs, and whether neuronal COX-2 levels were affected ...

Delayed Neurovascular Dysfunction Is Alleviated by Hydrogen in Asphyxiated Newborn Pigs2013 - Brain - Brain InjuryBackground: The neurovascular unit encompasses the functional interactions of cerebrovascular and brain parenchymal cells necessary for the metabolic homeostasis of neurons. Previous studies indicated marked but only transient (1-4 h) reactive oxygen ...

Hydrogen is neuroprotective and preserves cerebrovascular reactivity in asphyxiated newborn pigs2010 - Brain - Brain InjuryHydrogen (H2) has been reported to neutralize toxic reactive oxygen species. Oxidative stress is an important mechanism of neuronal damage after perinatal asphyxia. We examined whether 2.1% H2-supplemented room air (H2-RA) ventilation would preserve ..."
Asthma,"Molecular hydrogen alleviates asthma through inhibiting IL-33/ILC2 axis2021 - Lung - AsthmaBackground: Asthma is one of the most common noninfectious chronic diseases characterized by type II inflammation. This study aimed to investigate the effects of molecular hydrogen on the pathogenesis of asthma. Methods: OVA sensitized asthma mouse ...

Effects of high-fat diet on the epithelial-mesenchymal transition of respiratory tract through the ...2020 - Lung - AsthmaBackground High fat diet is extensively studied to be associated with trending metabolic diseases. In addition to type 2 diabetes and hypertension, high fat diet is strongly associated with asthma and other respiratory diseases among children ...

Hydrogen Attenuates Allergic Inflammation by Reversing Energy Metabolic Pathway Switch2020 - Lung - AsthmaMechanisms mediating the protective effects of molecular hydrogen (H2) are not well understood. This study explored the possibility that H2 exerts its anti-inflammatory effect by modulating energy metabolic pathway switch. Activities of glycolytic ...

The combination of alkaline water provision and asthma-induced gymnastics towards peak expiratory ...2019 - Lung - AsthmaBackground: Asthma is an abnormality in the form of chronic airway inflammation which can be reduced by providing asthma-induced gymnastics and healthy lifestyle such as consuming alkaline water.Aims: The objective of this study is to examine a ...

Hydrogen gas inhalation enhances alveolar macrophage phagocytosis in an ovalbumin-induced asthma ...2019 - Lung - AsthmaBackground: Maintaining an airway clear of bacteria, foreign particles and apoptotic cells by alveolar macrophages is very essential for lung homeostasis. In asthma, the phagocytic capacity of alveolar macrophages is significantly reduced, which is ...

Inhalation of hydrogen gas attenuates airway inflammation and oxidative stress in allergic asthmatic ...2018 - Lung - AsthmaBackground Asthma is a worldwide common chronic airway disease that cannot be cured and results in the huge burden in public health. Oxidative stress was considered an important mechanism in the pathogenesis of asthma. Hydrogen gas been demonstrated ...

Hydrogen-rich saline reduces airway remodeling via inactivation of NF-κB in a murine model of ...2013 - Lung - AsthmaRecent studies suggest that hydrogen has great therapeutic and prophylactic potential against organ injury caused by oxidative stress and inflammation. Here we investigated the effect of hydrogen-rich saline on airway inflammation and remodeling in a ...

Molecular hydrogen suppresses FcεRI-mediated signal transduction and prevents degranulation of mast ...2009 - Lung - AsthmaMolecular hydrogen ameliorates oxidative stress-associated diseases in animal models. We found that oral intake of hydrogen-rich water abolishes an immediate-type allergic reaction in mice. Using rat RBL-2H3 mast cells, we demonstrated that hydrogen ..."
Atherosclerosis,"Hydrogen attenuated oxidized low‑density lipoprotein‑induced inflammation through the ...2018 - Heart - AtherosclerosisChronic inflammation is a central pathogenic mechanism underlying the induction and progression of atherosclerosis (AS). Hydrogen has been demonstrated to serve a protective role in diverse models of disease. However, the potential effects and ...

Molecular Hydrogen stabilizes atherosclerotic plaque in low-density lipoprotein receptor knockout ...2015 - Heart - AtherosclerosisHydrogen (H2) attenuates the development of atherosclerosis in mouse models. We aimed to examine the effects of H2 on atherosclerotic plaque stability. Low-density lipoprotein receptor knockout (LDLR(-/-)) mice fed an atherogenic-diet were dosed ...

Hydrogen Activates ATP-Binding Cassette Transporter A1-Dependent Efflux Ex Vivo and Improves ...2015 - Heart - AtherosclerosisContext We have found that hydrogen (dihydrogen; H2) decreases plasma low-density lipoprotein cholesterol (LDL-C) levels and improves high-density lipoprotein (HDL) function in patients with potential metabolic syndrome in a before-after ...

Effect of Alkaline Water on the Lipid Profile in Wistar Rats2015 - Heart - AtherosclerosisBackgrounds: Alkaline water could be prepared through both electro-chemical and natural ways and previous studies have shown that alkaline water scavenges oxygen radicals in cell culture. It’s expected that alkaline water has positive and ...

Consumption of water containing over 3.5 mg of dissolved hydrogen could improve vascular endothelial ...2014 - Heart - AtherosclerosisBackground: The redox imbalance between nitric oxide and superoxide generated in the endothelium is thought to play a pivotal role in the development of endothelial dysfunction. A third reactive oxygen species (ROS), H2O2, is known to have both ...

Administration of hydrogen-saturated saline decreases plasma low-density lipoprotein cholesterol ...2012 - Heart - AtherosclerosisHydrogen (dihydrogen; H(2)) has an antiatherosclerotic effect in apolipoprotein (apo) E knockout mice. The goals of this study were to further characterize the effects of H(2) on the content, composition, and biological activities of plasma ...

Hydrogen decreases athero-susceptibility in apolipoprotein B-containing lipoproteins and aorta of ...2012 - Heart - AtherosclerosisIt is to characterize the underlying molecular mechanisms of the anti-atherosclerotic effects of hydrogen (dihydrogen; H(2)), a novel antioxidant. In particular, to examine the effects of hydrogen on athero-susceptibility in lipoproteins and aorta of ...

Hydrogen-rich water prevents lipid deposition in the descending aorta in a rat periodontitis model2012 - Heart - AtherosclerosisObjective: Periodontitis has been causally linked to atherosclerosis, which is mediated by the oxidative stress. As hydrogen-rich water (HW) scavenges reactive oxygen species (ROS), we hypothesized that HW could prevent lipid deposition induced by ...

H2 inhibits TNF-α-induced lectin-like oxidized LDL receptor-1 expression by inhibiting nuclear ...2011 - Heart - AtherosclerosisH(2) is a therapeutic antioxidant that can reduce oxidative stress. Oxidized low-density lipoprotein, which plays roles in atherosclerosis, may promote endothelial dysfunction by binding the cell-surface receptor LOX-1. LOX-1 expression can be ...

Consumption of hydrogen water prevents atherosclerosis in apolipoprotein E knockout mice2008 - Heart - AtherosclerosisOxidative stress is implicated in atherogenesis; however most clinical trials with dietary antioxidants failed to show marked success in preventing atherosclerotic diseases. We have found that hydrogen (dihydrogen; H(2)) acts as an effective ..."
Atrophy,"Therapeutic Potential of Hydrogen-Rich Water on Muscle Atrophy Caused by Immobilization in a Mouse ...2023 - Muscle - Disuse AtrophySkeletal muscle atrophy is associated with poor quality of life and disability. Thus, finding a new strategy for the prevention and treatment of skeletal muscle atrophy is very crucial. This study aimed to investigate the therapeutic potential of ...

Effect of Molecular Hydrogen Saturated Alkaline Electrolyzed Water on Disuse Muscle Atrophy in ...2011 - Muscle - Disuse AtrophyThe objectives of this paper were to determine the level of oxidative stress in atrophied gastrocnemius, and to verify the effect of molecular hydrogen (H2) saturated alkaline electrolyzed water (HSW) on gastrocnemius atrophy by modifying the redox ..."
Auditory Neuropathy,"Inhalation of hydrogen gas attenuates ouabain-induced auditory neuropathy in gerbils2012 - Ear - Hearing LossAim: Auditory neuropathy (AN) is a hearing disorder characterized by abnormal auditory nerve function with preservation of normal cochlear hair cells. This study was designed to investigate whether treatment with molecular hydrogen (H(2)), which can ..."
Autism Spectrum Disorder,"Hydrogen-Rich Water Ameliorates Autistic-Like Behavioral Abnormalities in Valproic Acid-Treated ...2018 - Brain - Autism Spectrum DisorderDue to its anti-inflammatory and anti-oxidative effects, recent research has demonstrated that molecular hydrogen can serve as a new medical approach for depression, anxiety and traumatic brain injury. However, its potential effects on ..."
