First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Country
"Kamaroddin, Mohd Fadhzir Ahmad","Sabli, Nordin; Abdullah, Tuan Amran Tuan; Siajam, Shamsul Izhar; Abdullah, Luqman Chuah; Jalil, Aishah Abdul","Ahmad, Arshad",Membrane-Based Electrolysis for Hydrogen Production: A Review ,2021,Membranes,10.3390/membranes11110810 ,"Hydrogen is a zero-carbon footprint energy source with high energy density that could be the basis of future energy systems. Membrane-based water electrolysis is one means by which to produce high-purity and sustainable hydrogen. It is important that the scientific community focus on developing electrolytic hydrogen systems which match available energy sources. In this review, various types of water splitting technologies, and membrane selection for electrolyzers, are discussed. We highlight the basic principles, recent studies, and achievements in membrane-based electrolysis for hydrogen production. Previously, the Nafion™ membrane was the gold standard for PEM electrolyzers, but today, cheaper and more effective membranes are favored. In this paper, CuCl-HCl electrolysis and its operating parameters are summarized. Additionally, a summary is presented of hydrogen production by water splitting, including a discussion of the advantages, disadvantages, and efficiencies of the relevant technologies. Nonetheless, the development of cost-effective and efficient hydrogen production technologies requires a significant amount of study, especially in terms of optimizing the operation parameters affecting the hydrogen output. Therefore, herein we address the challenges, prospects, and future trends in this field of research, and make critical suggestions regarding the implementation of comprehensive membrane-based electrolytic systems. ",Malaysia
"Wei, Jie","He, Zheng-Da; Chen, Wei; Chen, Yan-Xia; Santos, Elizabeth","Schmickler, Wolfgang",Catalysis of hydrogen evolution on Pt(111) by absorbed hydrogen ,2021,Journal of Chemical Physics,10.1063/5.0072069 ,"The activity of Pt(111) electrodes for the hydrogen evolution reaction (HER) in 0.5M H2SO4 solution is found to increase with continuous potential cycling in the HER potential region. In addition, the basic cyclic voltammograms obtained in 0.5M H2SO4 saturated with N2 after HER show several characteristic changes: the current waves for hydrogen adsorption in the region of0.2 < E < 0.35 V and for sulfate adsorption at 0.35 < E < 0.5 V decrease and the current spike at 0.44 V for the phase transition of the sulfate adlayer gradually disappears. We suggest that these changes are caused by the absorption of a small amount of hydrogen in the subsurface layer and propose a mechanism by which this enhances hydrogen evolution. ",China
"Lagadec, Marie Francine",,"Grimaud, Alexis",Water electrolysers with closed and open electrochemical systems ,2020,Nature Materials,10.1038/s41563-020-0788-3 ,"Green hydrogen production using renewables-powered, low-temperature water electrolysers is crucial for rapidly decarbonizing the industrial sector and with it many chemical transformation processes. However, despite decades of research, advances at laboratory scale in terms of catalyst design and insights into underlying processes have not resulted in urgently needed improvements in water electrolyser performance or higher deployment rates. In light of recent developments in water electrolyser devices with modified architectures and designs integrating concepts from Li-ion or redox flow batteries, we discuss practical challenges hampering the scaling-up and large-scale deployment of water electrolysers. We highlight the role of device architectures and designs, and how engineering concepts deserve to be integrated into fundamental research to accelerate synergies between materials science and engineering, and also to achieve industry-scale deployment. New devices require benchmarking and assessment in terms of not only their performance metrics, but also their scalability and deployment potential. ",France
"Mandal, Manas","Moore, Michael","Secanell, Marc",Measurement of the Protonic and Electronic Conductivities of PEM Water Electrolyzer Electrodes ,2020,ACS Applied Materials & Interfaces,10.1021/acsami.0c12111 ,"Reducing anode catalyst layer proton- and electron-transport resistances in polymer electrolyte membrane water electrolyzers is critical to improving its performance and maximizing catalyst utilization at high current density. A hydrogen pump technique is adapted to measure the protonic conductivity of IrOx-based catalyst layers. The protonic resistance of the catalyst layer is obtained by subtracting the protonic resistance of an assembly of two NRE211 membranes hot-pressed together from an assembly of two NRE211 membranes with an IrOx intermediate layer. The through-plane and in-plane electronic conductivities were also measured using two- and four-probe methods, respectively. Using these techniques, the protonic and electronic conductivities of the IrOx catalyst layers with varying Nafion loading were measured. The results show that the limiting charge-transport phenomena in the IrOx catalyst layer can be either proton or electron transport, depending on the ionomer loading in the catalyst layer. These results are validated by numerical simulation, as well as by comparison to the high-frequency resistance of an electrolyzer with the same layer. ",Canada
"Wang, Jian","Gao, Yang; Kong, Hui; Kim, Juwon; Choi, Subin; Ciucci, Francesco; Hao, Yong; Yang, Shihe; Shao, Zongping","Lim, Jongwoo","Non-precious-metal catalysts for alkaline water electrolysis: operando characterizations, theoretical calculations, and recent advances ",2020,Chemical Society Reviews,10.1039/d0cs00575d ,"Recent years have witnessed an upsurge in the development of non-precious catalysts (NPCs) for alkaline water electrolysis (AWE), especially with the strides made in experimental and computational techniques. In this contribution, the most recent advances in NPCs for AWE were systematically reviewed, emphasizing the application of in situ/operando experimental methods and density functional theory (DFT) calculations in their understanding and development. First, we briefly introduced the fundamentals of the anode and cathode reaction for AWE, i.e., the oxygen evolution reaction (OER) and the hydrogen evolution reaction (HER), respectively. Next, the most popular in situ/operando approaches for characterizing AWE catalysts, including hard and soft XAS, ambient-pressure XPS, liquid and identical location TEM, electrochemical mass spectrometry, and Raman spectroscopy were thoroughly summarized. Subsequently, we carefully discussed the principles, computational methods, applications, and combinations of DFT with machine learning for modeling NPCs and predicting the alkaline OER and HER. With the improved understanding of the structure-property-performance relationship of NPCs for AWE, we proceeded to overview their current development, summarising state-of-the-art design strategies to boost their activity. In addition, advances in various extensively investigated NPCs for AWE were evaluated. By conveying these methods, progress, insights, and perspectives, this review will contribute to a better understanding and rational development of non-precious AWE electrocatalysts for hydrogen production. ",China
"Wang, Yanqing","Fugetsu, Bunshi; Sakata, Ichiro; Fujisue, Chika; Kabayama, Shigeru; Tahara, Norio","Morisawa, Shinkatsu",Monolayered Platinum Nanoparticles as Efficient Electrocatalysts for the Mass Production of Electrolyzed Hydrogen Water ,2020,Nature Scientific Reports,10.1038/s41598-020-67107-1 ,"High-performance/low-cost platinum (Pt)-based electrocatalysts have been established by top-coating both sides of a titanium plate with Pt nanoparticles. The average diameter of the Pt nanoparticles used in this study is approximately 100 nm. Three types of Pt top-coated Pt/Ti electrocatalysts, each having different top-coated Pt layer thicknesses, are prepared. Type I is a monolayered Pt top-coated type, in which the thickness of the top-coated Pt layer is approximately 100 nm; Type II is a few-layered type with a top-coated Pt layer thickness of approximately 200 nm, and Type III is a multilayered type with a top-coated Pt layer thickness of approximately 750 nm. The mass loading of Pt is 0.0215 mg cm-2 for Type I, 0.043 mg cm-2 for Type II, and 0.161 mg cm-2 for Type III. The electrocatalytic activities of each type of Pt/Ti electrocatalyst are evaluated through the electrolysis of acidic water and tap water. Type I gives the highest electrocatalytic efficiencies, which are comparable or even better than the electrocatalytic efficiencies of the state-of-the-art commercially available Pt/C electrode and other metal-/carbon-based HER catalysts. For example, in the case of the electrolysis of acidic water at an overpotential of 0.15 V, Type I shows a Tafel slope of 29 mV dec-1 and a current density of 27.5 mA cm-2. Even in the case of the electrolysis of tap water, Type I gives an HER Faradaic efficiency of 92%. A model of water (H2O), hydronium ions (H3O+), and hydroxyl ions (OH-) properly adsorbing on the Pt (111) facet is proposed to explain the electrocatalytic mechanism. New insights into the distinguishing properties of the resultant electrolyzed hydrogen water (EHW), namely, the healthy beneficial effects of EHW, are also described, and a new concept of storing and carrying reductive hydrogen (H*) by free Pt nanoparticles is proposed. ",China
"Sonobe, Takahito",Ariumi Hideto,"Yoshiyama, Yuji",Effect of Temperature on Changes in the Concentration of H2 in Commercial Hydrogen Water,2019,Japanese Journal of Pharmaceutical Health Care and Sciences,10.5649/jjphcs.45.344,"In 2007, the first report that hydrogen removes active oxygen was published, and many clinical and non-clinical studies have since been conducted using hydrogen gas and water. Dietary supplements are used by a large number of patients as self-medication. Although dietary supplements cannot be considered as drugs, patients expect pharmacological benefits from them since they usually have very little knowledge of their effects. Thus, pharmacists have the responsibility to expand their knowledge of dietary supplements so that they can give better advice to patients who are using them. This study examined the effect of temperature on the dissolved H2 concentration in water and clarified the difference in changes in H2 concentration among commercial hydrogen water products. We compared 5 commercial hydrogen water products packed in aluminum pouches (Product A, Product B, Product C), aluminum cans (Product D) or plastic bottles (Product E), and measured the dissolved H2 concentration for up to 120 days when stored at 26℃ and 37℃ using a needle-type H2 sensor. We found that the H2 dissolved in Product A was stable for 120 days at 26℃ and 37℃. Product B and C maintained high H2 concentrations at 26℃, but the H2 concentration gradually decreased at 37℃. The H2 concentrations of products D and E were low and undetectable, respectively. Our experiments suggest that all products packed in aluminum pouches, aluminum cans or plastic bottles stored during distribution at 26℃ and 37℃ may be influenced by the time course of changes in the concentration of hydrogen.",Japan
"Camara, Richard","Huang, Lei","Zhang, John H.",The production of high dose hydrogen gas by the AMS-H-01 for treatment of disease,2016,Medical Gas Research,10.4103/2045-9912.191362,"Hydrogen gas is a new and promising treatment option for a variety of diseases including stroke. Here, we introduce the AMS-H-01, a medically approved machine capable of safely producing ~66% hydrogen gas. Furthermore, we propose the significance of this machine in the future of hydrogen gas research.",United States
"Easter Joy Sajo, Ma","Fadriquela, Ailyn; Bajgai, Johny; Kang, Tae-Young","Lee, Kyu-Jae",Simple Method of Increasing the Alkalinity and Reduction Power of Water by Boiling Simple Method of Increasing the Alkalinity and Reduction Power of Water by Boiling,2016,Korean Journal of Waters,2233-4653,"Alkaline-reduced water (ARW) was first developed in Japan, and its effectiveness has been explored in different health related fields. Generally, ARW is generated by electrolysis, whereby water (H2O) decomposes into oxygen (O2) and hydrogen gas (H2) due to an electric current. ARW also can be generated with additives, such as calcium or magnesium. ARW is characterized as having high pH, supersaturated hydrogen, and negative oxidation-reduction potential (ORP). Hydrogen-rich water has been introduced as a feasible therapeutic strategy for health promotion and disease prevention. Studies have shown that ARW has antioxidant properties and thus helping counteract free radicals in the body. These free radicals can cause premature aging and other conditions. The chemical properties of ARW, specifically its pH, are believed to contribute to its beneficial effects. Here, we hypothesized that the simple method of boiling water could increase the alkalinity and reduction power of water. The impact of simply boiling water, which is not only to increase its alkalinity and reducing the ORP, but also allows it to reduce the reactive oxygen species (ROS) levels in the body, raises the long-term possibility that drinking boiled water might prevent oxidative stress-related diseases.",South Korea
"Streblau, Maik","Aprahamian, Bohos; Simov, Mihail","Dimova, Tatyana",The influence of the electrolyte parameters on the efficiency of the oxyhydrogen (HHO) generator,2014,International Symposium on Electrical Apparatus and Technologies (SIELA),10.1109/SIELA.2014.6871898,The electrolysis of water is an electrochemical process wherein hydrogen and oxygen are derived. The resulting mixture of oxygen and hydrogen is called oxyhydrogen or Brown's gas. This paper present an experimental study of the regime of operation of an oxyhydrogen (HHO) generator depending on the parameters of the electrolyte - concentration and temperature by monitoring the amount of gas produced per unit time compared to the electricity input.,Bulgaria
"Safonov, V.L.",,"Khitrin, A.K.",Hydrogen nanobubbles in a water solution of dietary supplement,2013,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2013.06.043,"Using gas chromatography, proton nuclear magnetic resonance and qualitative experiments, we demonstrate that a water solution of dissolved dietary supplement, creating negative redox potential, contains invisible hydrogen nano-bubbles, which remain in the solution for several hours. ",United States
"Park, Sung-Ho","Yun, Su-Jin; Kim, Jeong-Sik; Shun, Hyun-Su","Park, Soo-Gil",Evaluate of Electrochemical Characteristics in Electrolyzed Reduced Water,2011,Journal of Electrochemical Science and Technology,10.5229/JECST.2011.2.2.085,"Active oxygen species or free radicals are considered to cause extensive oxidative damage to biological macromolecules, which brings about a variety of diseases as well as aging. Electrolyzed reduced water(ERW) has been regarded as a ideal antioxidative agent in recent years. ERW is produced by passing a diluted salt solution through an electrolytic cell, within which the anode and cathode are separated by membrane. It can be produced reactive materials in ERW near the cathode during the electrolysis of water. ERW have the following advantages over other traditional cleaning agents: effective antioxidative agent, easy preparation, inexpensive, and environmentally friendly. The main advantage of ERW is its safety and antioxidative effect. ERW with strong reducing potential can be used to remove dirt and grease from items such as cutting boards and other kitchen utensils. The primary aim of this study is the activation mechanism of oxidation reduction potentials, ion conductivity, pH, and electrochemical properties with reactive materials in ERW.",South Korea
"Piskarev, I.M.","Ushkanov, V.A.; Aristova, N.A.l Likhachev, P.P.","Myslivets, T.C.",Determination of the redox potential of water saturated with hydrogen,2010,Biofizika,20184136,"It has been shown that the redox potential of water saturated with hydrogen is -500--700 mV. The time of the establishment of the potential is 24 h. The potential somewhat increases with increasing volume of hydrogen introduced to a reservoir with water and practically does not depend on the presence of additions in water, provided these additions are not reduced by hydrogen. The pH value of water does not change after the addition of water. In a glass vessel with a metallic cover resting on the side, no decrease in potential during the 2.5-month storage was observed. In plastic bottles, the content of hydrogen decreased; on storage for more than two weeks, it disappeared almost completely, and as a result, the potential increased after storage for three to four weeks to a level near zero. In an open vessel, the potential remained negative for two days. ",Russia
"Rosch, Moritz","Lucas, Kurt; Al-Gousous, Jozef; Poschl, Ulrich","Langguth, Peter",Formulation and Characterization of an Effervescent Hydrogen-Generating Tablet ,2021,Pharmaceuticals,10.3390/ph14121327 ,"Hydrogen, as a medical gas, is a promising emerging treatment for many diseases related to inflammation and oxidative stress. Molecular hydrogen can be generated through hydrogen ion reduction by a metal, and magnesium-containing effervescent tablets constitute an attractive formulation strategy for oral delivery. In this regard, saccharide-based excipients represent an important class of potential fillers with high water solubility and sweet taste. In this study, we investigated the effect of different saccharides on the morphological and mechanical properties and the disintegration of hydrogen-generating effervescent tablets prepared by dry granulation. Mannitol was found to be superior to other investigated saccharides and promoted far more rapid hydrogen generation combined with acceptable mechanical properties. In further product optimization involving investigation of lubricant effects, adipic acid was selected for the optimized tablet, due to regulatory considerations. ",Germany
"Mouzakis, Foivos Leonidas","Khadka, Lal Babu; da Silva, Miguel Pereira","Mottaghy, Khosrow",Quantification of dissolved H 2 and continuous monitoring of hydrogen-rich water for haemodialysis applications: An experimental study,2022,International Journal of Artificial Organs,10.1177/03913988211070588 ,"The prevalence of oxidative and inflammatory stress in end-stage renal disease (ESRD) patients has often been associated with chronic haemodialysis therapies. Over the past decades, several reports have shown the potential of hydrogen molecule as an antioxidant in the treatment of various medical conditions in animal models, as well as in pilot studies with human patients. Recently, a hydrogen-enriched dialysate solution has been introduced, holding promise in reducing the oxidative and/or inflammatory complications arising during haemodialysis. To this end, a standardised measuring method to determine the levels of hydrogen in dialysate and subsequently in blood is required. This study explores the possibility of quantifying hydrogen concentration using a novel contactless sensor that detects dissolved hydrogen in liquids. An experimental circuit is assembled to validate the sensitivity and accuracy of the hydrogen monitoring system (Pureron Japan Co., Ltd) through in vitro investigations with physiological solutions. Measurements of dissolved molecular hydrogen concentration are corroborated by an established oxygen sensor providing continuous partial pressure readings. The relationship between the applied H2 content in the gaseous mixture and the H2 concentration value at equilibrium is linear. At the same time, the hydrogen monitoring system has a rather long response time, and its readings seem to slightly diverge from sensor to sensor as well as at different temperatures. For this reason, a sensor recalibration might be necessary, which could become part of the product's ongoing development. Nevertheless, the aforementioned minor deficiencies can be mostly considered negligible in applications such as haemodialysis. ",Germany
"Santoro, Carlo","Lavacchi, Alessandro; Mustarelli, Piercarlo; Di Noto, Vito; Elbaz, Lior; Dekel, Dario","Jaouen, Frederic","What is next in anion-exchange membrane water electrolyzers? Bottlenecks, benefits, and future ",2022,ChemSusChem,10.1002/cssc.202200027 ,"As highlighted by the recent roadmaps from the European Union and the United States, water electrolysis is the most valuable high-intensity technology for producing green hydrogen. Currently, two commercial low-temperature water electrolyzer technologies exist - alkaline water electrolyzer (A-WE) and proton exchange membrane water electrolyzer (PEM-WE). However, both have major drawbacks. A-WE shows low productivity and efficiency, while PEM-WE uses a significant amount of critical raw materials. Lately, the use of anion-exchange membrane electrolyzers (AEM-WE) has been proposed to overcome the limitations of the current commercial systems. AEM-WE could become the cornerstone to achieve an intense, safe and resilient green hydrogen production to fulfill the hydrogen targets to achieve the 2050 decarbonization goals. Here we discuss the status of AEM-WE development, with a focus on the most critical aspects for research and highlighting the potential routes for overcoming the remaining issues. The mini-review closes with the future perspective on the AEM-WE research indicating the targets to be achieved. ",Italy
