ID,First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Rank,Model,Primary Topic,Secondary Topic,Tertiary Topic,Vehicle,pH,Application,Comparison,Complement,Country
50,"Cejka, Cestmir","Kossl, Jan; Holan, Vladimir; Zhang, John H.","Cejkova, Jitka","Retracted: An Immunohistochemical Study of the Increase in Antioxidant Capacity of Corneal Epithelial Cells by Molecular Hydrogen, Leading to the Suppression of Alkali-Induced Oxidative Stress ",2020,Oxidative Medicine and Cellular Longevity,10.1155/2020/7435260 ,"Corneal alkali burns are potentially blinding injuries. Alkali induces oxidative stress in corneas followed by excessive corneal inflammation, neovascularization, and untransparent scar formation. Molecular hydrogen (H2), a potent reactive oxygen species (ROS) scavenger, suppresses oxidative stress and enables corneal healing when applied on the corneal surface. The purpose of this study was to examine whether the H2 pretreatment of healthy corneas evokes a protective effect against corneal alkali-induced oxidative stress. Rabbit eyes were pretreated with a H2 solution or buffer solution, by drops onto the ocular surface, and the corneas were then burned with 0.25 M NaOH. The results obtained with immunohistochemistry and pachymetry showed that in the corneas of H2-pretreated eyes, slight oxidative stress appeared followed by an increased expression of antioxidant enzymes. When these corneas were postburned with alkali, the alkali-induced oxidative stress was suppressed. This was in contrast to postburned buffer-pretreated corneas, where the oxidative stress was strong. These corneas healed with scar formation and neovascularization, whereas corneas of H2-pretreated eyes healed with restoration of transparency in the majority of cases. Corneal neovascularization was strongly suppressed. Our results suggest that the corneal alkali-induced oxidative stress was reduced via the increased antioxidant capacity of corneal cells against reactive oxygen species (ROS). It is further suggested that the ability of H2 to induce the increase in antioxidant cell capacity is important for eye protection against various diseases or external influences associated with ROS production. ",Positive,Rabbit,Eye,Corneal Injury,Alkali Burn,"Saline, Commercial (Dr. Hayashi Hydrogen Rich Water Stick)",Neutral,Irrigation,,,Czech Republic
51,"Chaves, Juliana R.","de Souza, Carolina R.T.; Modesto, Antonio A.C.; Moreira, Fabiano C.; Teixeira, Eliel B.; Sarraf, Jonathan S.; Allen, Thais S.R.; Araujo, Taissa M.T.","Khayat, Andre S.","Effects of alkaline water intake on gastritis and miRNA expression (miR-7, miR-155, miR-135b and miR-29c)",2020,American Journal of Translational Research,32774757,"It is known that abnormal expression of miRNAs in the gastric cancer (GC) contributes to its carcinogenesis. Therefore, ingestion of commercial (usual) water on a daily basis may be a contributing factor for the occurrence of alterations in the gastric mucosal. In this study, it was evaluated the expression of the miRNAs miR-29c, miR-7, miR-155, and miR-135b in the gastric tissue of patients with gastritis before and after the consumption of alkaline water (pH range from 8.0 to 10.0), as well as the clinic pathological characteristics. Methods: 50 subjects from the Amazon region, diagnosed with gastritis that routinely used commercial (usual) water with a pH lower than 5.0, were enrolled to change the consume water to a pH of 8.5 to 10.0 for 5 months. Results: Endoscopic findings of gastritis were such different (less severe disease), P = 0.024; in 43% diagnosed with moderate gastritis upfront esophagogastroduodenoscopy (EGD) presented mild gastritis after the consumption of alkaline water, according to study methods; there were no worsening gastritis and there were a significant increase in the expression of miR-135b (P = 0.039) and miR-29c (P = 0.039). Conclusion: Modified pH range water (from 8.0 to 10.0) ingested for 5 months was able lead to a less severe gastritis according to the Sidney classification system, suggesting that this lifestyle change represented a clinical benefit in patients with gastritis on the Amazon region. In addition, higher expression of miR-135b and miR-29c was observed after the consumption of alkaline water for 5 months.",Positive,Human,Stomach,Cancer,Gastritis,Water (Electrolysis),Alkaline,Ingestion,Acidic Water,,Brazil
52,"Chen, Ji-Bing","Kong, Xiao-Feng; Qian, Wei; Mu, Feng; Lu, Tian-Yu; Lu, You-Yong","Xu, Ke-Cheng",Two weeks of hydrogen inhalation can significantly reverse adaptive and innate immune system senescence patients with advanced non-small cell lung cancer: a self-controlled study ,2020,Medical Gas Research,10.4103/2045-9912.304221 ,"Following standard treatments, the traditional model for enhancing anti-tumor immunity involves performing immune reconstitution (e.g., adoptive immune cell therapies or immunoenhancing drugs) to prevent recurrence. For patients with advanced non-small cell lung cancer, we report here on two objectives, the immunosenescence for advanced non-small cell lung cancer and hydrogen gas inhalation for immune reconstitution. From July 1st to September 25th, 2019, 20 non-small cell lung cancer patients were enrolled to evaluate the immunosenescence of peripheral blood lymphocyte subsets, including T cell, natural killer/natural killer T cell and gamma delta T cell. Two weeks of hydrogen inhalation was performed during the waiting period for treatment-related examination. All patients inhaled a mixture of hydrogen (66.7%) and oxygen (33.3%) with a gas flow rate of 3 L/min for 4 hours each day. None of the patients received any standard treatment during the hydrogen inhalation period. After pretreatment testing, major indexes of immunosenescence were observed. The abnormally higher indexes included exhausted cytotoxic T cells, senescent cytotoxic T cells, and killer Vδ1 cells. After 2 weeks of hydrogen therapy, the number of exhausted and senescent cytotoxic T cells decreased to within the normal range, and there was an increase in killer Vδ1 cells. The abnormally lower indexes included functional helper and cytotoxic T cells, Th1, total natural killer T cells, natural killer, and Vδ2 cells. After 2 weeks of hydrogen therapy, all six cell subsets increased to within the normal range. The current data indicate that the immunosenescence of advanced non-small cell lung cancer involves nearly all lymphocyte subsets, and 2 weeks of hydrogen treatment can significantly improve most of these indexes. The study was approved by the Ethics Committee of Fuda Cancer Hospital, Jinan University in China (approval No. Fuda20181207) on December 7th, 2018, and was registered on ClinicalTrials.gov (ID: NCT03818347) on January 24th, 2019.",Positive,Human,Lung,Cancer,Immune Dysfunction,Gas,N/A,Inhalation,,,China
53,"Chen, Y.","Zong, C.; Jia, J.; Liu, Y.; Zhang, Z,; Cai, B.","Tian, L.",A study on the protective effect of molecular hydrogen on osteoradionecrosis of the jaw in rats ,2020,International Journal of Oral and Maxillofacial Surgery,10.1016/j.ijom.2020.04.011 ,"The aim of this study was to investigate the protective effect of hydrogen in a rat model of osteoradionecrosis of the jaw (ORNJ). The rats and bone marrow-derived mesenchymal stem cells (BMSCs) were pre-treated with hydrogen before receiving irradiation (7Gy per fraction, five fractions in total once a day for rats, 4Gy for BMSCs). Reactive oxygen species (ROS) and cell differentiation were measured in the BMSCs. Also, the radioprotective effect of hydrogen for ORNJ in Sprague-Dawley rats was examined by gross clinical manifestations, micro-computed tomography, and histology. Hydrogen significantly reduced the production of ROS in BMSCs after irradiation. The cell viability was significantly decreased after irradiation (P= 0.001), but pre-treatment with hydrogen before irradiation increased the cell viability (P= 0.025). Hydrogen considerably increased the cellular differentiation potential of the irradiated cells. Comparing with the rats underwent irradiaton only, those rats treated by hydrogen-rich saline significantly appeared improved occlusion, salivation, alopecia, oral ulcer, and less bone necrosis. Myofibroblasts accumulated overwhelmingly in the fibrosis medulla and around the sequestrum after irradiation, and this was decreased in the group pre-treated with hydrogen. Hydrogen may represent a strategy for the prevention and treatment of ORNJ. Its high efficacy and low toxicity suggest possible therapeutic application. ",Positive,Rat,Bone,Osteonecrosis,Radioprotection,Saline (Dissolved),Neutral,Mixed,,,China
54,"Cheng, Jie","Tang, Chao; Li, Xueling; Hu, Jun",Lu Junghong,Hydrogen molecules can modulate enzymatic activity and structural properties of pepsin in vitro,2020,Colloids and Surfaces B: Biointerfaces,10.1016/j.colsurfb.2020.110856 ,"Hydrogen gas therapy has been recognized as the promising application merit. However, the underlying mechanism on the biological effects remains far from being understood. In this work, pepsin used as a research model, the effects of hydrogen-rich water on the protein activities and structural properties were investigated by enzymatic assay, atomic force microscopy-based peakforce quantitative nanomechanical mapping (PF-QNM) and terahertz time-domain spectroscopy (THz-TDS). We found that hydrogen-rich water can increase the protein activity and its apparent height while alter the mechanical properties (Young's modulus) and the terahertz dynamics. These results suggest a possible mode of hydrogen molecules acting with pepsin through the local changes of hydrophobic interfaces in the protein molecules, thus provide the first evidence for the direct interaction between hydrogen with proteins and a biophysical insight into the mechanism of hydrogen as well as other gases on the biological effects.",Neutral,Molecular Assay,Stomach,Protein Digestion,Pepsin Activity,Water (Dissolved),Neutral,Assay Media,,,China
55,"Cheng, ShaoWen","Peng, Lui; Xu, BaiChao; Chen, WenSheng; Chen, YangPing","Gu, YunTao","Protective Effects of Hydrogen-Rich Water Against Cartilage Damage in a Rat Model of Osteoarthritis by Inhibiting Oxidative Stress, Matrix Catabolism, and Apoptosis",2020,Medical Science Monitor,10.12659/MSM.920211,"BACKGROUND The aim of this study was to investigate the mechanisms underlying the potential effects of hydrogen-rich water (HW) on articular cartilage in a rat osteoarthritis (OA) model. MATERIAL AND METHODS A rat model of OA was established using the modified Hulth method, and rats were forced to exercise for 30 min every day 1 week after surgery for 7 weeks. Mankin's method was used to score the severity of OA. The animals were assigned into the OA group, OA+HW group, and sham operation group. After 8 weeks, the animals in the OA group had a Mankin score >8 points, and HW was administered into the knee joint. After 2 weeks of treatment, articular cartilage was obtained for pathological examination, consisting of hematoxylin and eosin, toluidine blue, and Hoechst staining, as well as quantitative real-time PCR and Western blot analyses. This combination of pharmacological and molecular biological analyses was performed to examine the mechanism underlying the protective effect of HW on articular cartilage. RESULTS The antioxidant effects of HW suppressed oxidative damage, which may have aided the inhibition of ECM-degrading enzymes (MMP3, MMP13, ADAMT4, and ADAMT5), the upregulation of Col II and aggrecan expression, and the downregulation of COX-2, iNOS, and NO expression. The results of HE staining indicated intra-articular treatment of HW attenuated cartilage degradation. However, Hoechst staining in the OA group indicated the nuclei of the fragmented chondrocytes were condensed compared to the sham operation group, and this effect was inhibited by HW. CONCLUSIONS HW showed a protective effect against the progression of OA in an animal model, which may have been mediated by its anti-oxidant and anti-apoptotic activities. ",Positive,Rat,Bone,Osteoarthritis (OA),Oxidative Stress,Water (Dissolved),Neutral,Injection,,,China
56,"Choi, Young Ah","Lee, Dong Hyeon; Cho, Doo-Yeoun","Lee, Yong-Jae","Outcomes Assessment of Sustainable and Innovatively Simple Lifestyle Modification at the Workplace - Drinking Electrolyzed-Reduced Water (OASIS-ERW): A Randomized, Double-Blind, Placebo-Controlled Trial ",2020,Antioxidants,10.3390/antiox9070564 ,"Oxidative stress has been associated with many diseases as well as aging. Electrolyzed-reduced water (ERW) has been suggested to reduce oxidative stress and improve antioxidant potential. This study investigated the effects of drinking ERW on biomarkers of oxidative stress and health-related indices in healthy adults. We conducted a randomized, double-blind, placebo-controlled clinical trial on 65 participants, who were allocated into two groups. Of these, 61 received intervention (32 with ERW and 29 MW [mineral water]). All participants were instructed to drink 1.5 L/day of ERW or MW for eight weeks. Biomarkers of oxidative stress and health-related indices were assessed at baseline as well as after 4 weeks and 8 weeks of intervention. Of the primary outcome variables assessed, diacron-reactive oxygen metabolites (d-ROMs) and biological antioxidant potential showed a significant interaction between the groups and time, with d-ROMs levels significantly decreased at 8 weeks in ERW compared to those in MW. Among the secondary outcome variables, total, visceral, and subcutaneous fat mass significantly changed over time, with a significant association observed between the groups and time. Thus, daily ERW consumption may be a potential consideration for a sustainable and innovatively simple lifestyle modification at the workplace to reduce oxidative stress, increase antioxidant potential, and decrease fat mass. ",Positive,Human,Whole Body,Inflammation,Oxidative Stress,Water (Electrolysis),Alkaline,Ingestion,,,South Korea
57,"Cong, Hai-Ming","Gao, Qiu-Ping; Song, Guo-Qiang; Ye, Ying-Xin; Li, Xiao-Li; Zhang, Lian-Shuang","Wang, Xi-Feng",Hydrogen-rich saline ameliorates hippocampal neuron apoptosis through up-regulating the expression of cystathionine β-synthase (CBS) after cerebral ischemia- reperfusion in rats,2020,Iranian Journal of Basic Medical Science,10.22038/ijbms.2020.41751.9857,"Objectives: This study aimed to evaluate the potential role of hydrogen in rats after cerebral ischemic/reperfusion (I/R) injury. Materials and methods: The experimental samples were composed of sham group, model group of rats that received middle cerebral artery occlusion (MCAO) for 2 hr followed by reperfusion for 24 hr, and the hydrogen saline group treated by hydro¬gen-rich saline (1 ml/kg) after MCAO. Hydrogen sulfide (H2S), S100-βprotein (S100-β), and neuron-specific enolase (NSE) levels were measured; the levels of malondialdehyde (MDA), reactive oxygen species (ROS), and superoxide dismutase (SOD) were detected; the histologic structure and apoptotic cells of hippocampus were observed; the expressions of cystathionine β-synthase (CBS), nuclear factor erythroid 2-related factor 2 (Nrf2), and hemeoxygenase-1 (HO-1) were measured. Statistical analyses were performed using one-way analysis of variance (ANOVA) followed by Fisher's least significant difference (LSD) test. Results: Our results showed that hydrogen up-regulated H2S levels via promoting the expression of CBS in the hippocampus, and its treatment alleviated oxidative stress via activating the expression of Nrf2 and HO-1, and then cell apoptosis reduced, furthermore, brain function improved by down-regulating the levels of S100-βand NSE. Conclusion: This study showed that hydrogen-rich saline ameliorates cell injury through up-regulating the expression of CBS in the hippocampus after cerebral ischemia reperfusion (I/R) in rats, this provides new experimental evidence for the treatment of stroke with hydrogen saline.",Positive,Rat,Brain,Stroke,Ischemia-Reperfusion (I/R) Injury,Saline (Dissolved),Neutral,Injection,,,China
58,"Delgado-Enciso, Ivan","Paz-Garzia, Juan; Barajas-Saucedo, Carlos E.; Mokay-Ramirez, Karen A.; Meza-Robles, Carmen; Lopez-Flores, Rodrigo; Delgado-Machuca, Marina; Murillo-Zamora, Efren; Toscano-Velazquez, Jose A.; Delgado-Enciso, Josuel; Melnikov, Valery; Walle-Guillen, Mireya; Galvan-Salazar, Hector R.; Dalgado-Enciso, Osiris G.; Cabrera-Licona, Ariana; Guzman-Esquivel, Jose; Montes-Galindo, Daniel A.; Hernandez-Rangel, Alejandra E.; Montes-Diaz, Patricia; Rodriguez-Sanchez, Iram P.; Martinez-Fierro, Margarita L.; Garza-Veloz, Idalia; Tiburcio-Jimenez, Daniel; Zaizar-Fregoso, Sergio A.; Ramirez-Flores, Mario; Gaytan-Sandoval, Gustavo; Martinez-Perez, Carlos R.; Espinoza-Gomez, Francisco; Rojas-Larios, Fabian; Hirsch-Meillon, Michael J.; Barrios-Navarro, Enrique; Oviedo-Rodriguez, Vladimir; Baltazar Rodriguez, Luz M.","Paz-Michel, Brenda A.","Patient-Reported Health Outcomes After Treatment of COVID-19 with Nebulized and/or Intravenous Neutral Electrolyzed Saline Combined with Usual Medical Care Versus Usual Medical care alone: A Randomized, Open-Label, Controlled Trial",2020,Research Square,10.21203/rs.3.rs-68403/v1,"Background: Coronavirus disease (COVID-19) is currently the main public health problem worldwide. The administration of neutral electrolyzed saline, a solution that contains reactive species of chlorine and oxygen (ROS), may be an effective therapeutic alternative due to its immunomodulating characteristics, in systemic inflammation control, as well as in immune response improvement, promoting control of the viral infection. The present study evaluated the efficacy of treatment with intravenous and/or nebulized neutral electrolyzed saline combined with usual medical care versus usual medical care alone, in ambulatory patients with COVID-19. Methods: A prospective, 2-arm, parallel group, randomized, open-label, phase I-II clinical trial included 39 patients in the control group (usual medical care alone) and 45 patients in the experimental group (usual medical care + intravenous and/or nebulized electrolyzed saline, with dose escalation). Two aspects were evaluated during the twenty-day follow-up: i) the number of patients with disease progression (hospitalization or death); and ii) the Patient Acceptable Symptom State (PASS), a single-question outcome that determines patient well-being thresholds for pain and function. Biochemical and hematologic parameters, as well as adverse effects, were evaluated in the experimental group. Results: The experimental treatment decreased the risk for hospitalization by 92% (adjusted RR=0.08, 95% CI: 0.01-0.50, P=0.007), with a 43-fold increase in the probability of achieving an acceptable symptom state on day 5 (adjusted RR= 42.96, 95% CI: 9.22-200.0, P<0.001). Intravenous + nebulized administration was better than nebulized administration alone, but nebulized administration was better than usual medical care alone. Clinical improvement correlated with a decrease in C-reactive protein, and aberrant monocytes and an increase of lymphocytes, and platelets. Cortisol and testosterone levels were also evaluated, observing a decrease in cortisol levels and an increment of testosterone-cortisol ratio, on days 2 and 4. Conclusions: The experimental treatment produced no serious adverse effects. In conclusion, intravenous and/or nebulized neutral electrolyzed saline importantly reduced the symptomatology and risk of progression (hospitalization and death), in ambulatory patients with COVID-19. Trial registration: Cuban Public Registry of Clinical Trials (RPCEC) Database RPCEC00000309. Registered: 05. May 2020. https://rpcec.sld.cu/en/trials/RPCEC00000309-En ",Positive,Human,Lung,SARS/COVID,Dyspnea,Saline (Electrolysis),Neutral,Injection,,,Mexico
59,"Dobashi, Shohei","Takeuchi, Kaito","Koyama, Katsuhiro",Hydrogen-rich water suppresses the reduction in blood total antioxidant capacity induced by 3 consecutive days of severe exercise in physically active males,2020,Medical Gas Research,10.4103/2045-9912.279979 ,"Repeated sprint exercise can interfere with intramuscular redox balance and cause systemic oxidative stress and muscle damage. There is growing evidence that molecular hydrogen counteracts oxidative and/or inflammatory responses. Therefore, we investigated the effects of molecular hydrogen-rich water (HW) on muscle performance and oxidative stress markers induced by strenuous exercise. A single-blind, crossover, randomized controlled trial has been designed. Eight male volunteers completed two 3-day consecutive exercise tests under two conditions: HW and placebo water (PW). The exercise test included a countermovement jump, maximal voluntary isometric contraction of knee extensors, and sprint cycling. The sprint cycling exercise was comprised three repetitions of 10-second maximal pedaling against a resistance of 7.5% body mass and 110-second active rest (no-load pedaling). Before and after the exercise test, participants drank the 500 mL of HW (5.14 ± 0.03 ppm in H2 concentration) or PW (0.00 ± 0.00 ppm). At 7 hours before the first exercise test (Day 1), as baseline, and 16 hours after the exercise test on each day, blood samples were obtained. Exercise performances in both conditions were not significantly different over 3 consecutive days. In PW trial, relative changes in biological antioxidant potential/diacron-reactive oxygen metabolites, as an index of systemic antioxidant potential, from baseline gradually decreased as the day passed. However, HW suppressed the reduction in biological antioxidant potential/diacron-reactive oxygen metabolites observed in PW. Drinking HW contributed to the maintenance of the redox status during consecutive days of strenuous exercise and might help prevent accumulative muscular fatigue. The study was approved by the Human Research Ethics Committee of the University of Yamanashi, Japan (approval No. H26-008) on December 17, 2014. ",Positive,Human,Whole Body,Excercise,Fatigue,Water (Electrolysis),Neutral,Ingestion,,,Japan
60,"Fadriquela, Ailyn","Sajo, Ma Easter Joy; Bajgai, Johny; Kim, Dong-Heui; Kim, Cheol-Su; Kim, Soo-Ki","Lee, Kyu-Jae",Effects of Strong Acidic Electrolyzed Water in Wound Healing via Inflammatory and Oxidative Stress Response ,2020,Oxidative Medicine and Cellular Longevity,10.1155/2020/2459826 ,"Strong acidic electrolyzed water (StAEW) is known to inactivate microorganisms but is not fully explored in the medical field. This study is aimed at exploring StAEW as a potential wound care agent and its mechanism. StAEW (pH: 2.65, ORP: 1159 mV, ACC: 32.1 ppm) was sprayed three times a day to the cutaneous wounds of hairless mice for seven days. Wound morphological and histological features and immune-redox markers were compared with saline- (Sal-) and alcohol- (Alc-) treated groups. Results showed that the StAEW group showed a significantly higher wound healing percentage than the Sal group on days 2, 4, 5, and 6 and the Alc group on day 4. The StAEW group also showed earlier mediation on proinflammatory cytokines such as tumor necrosis factor-α, interleukin- (IL-) 6, IL-1β, and keratinocyte chemoattractant. In addition, basic fibroblast growth factor and platelet-derived growth factor were found to be significantly changed in favor of the fibroblast synthesis and angiogenesis. In line, the StAEW group showed a controlled amount of ROS and significantly decreased compared to the Alc group. The StAEW group also favored oxidative stress balance through antioxidant responses. Additionally, matrix metalloproteinases (MMP) 9 and MMP1 were also modulated for keratinocyte and cell migration. Taken together, this study has proven the wound healing effect of StAEW and its earlier mediation through oxidative and inflammatory responses. ",Positive,Mouse,Skin,Wound Healing,Inflammation,Water (Electrolysis),Acidic,Spray,,,South Korea
61,"Fang, Wei","Tang, Luyan; Wang, Guizhen; Lin, Jinran; Liao, Wanqing; Pan, Weihua","Xu, Jinhua",Molecular Hydrogen Protects Human Melanocytes from Oxidative Stress by Activating Nrf2 Signaling ,2020,Journal of Investigative Dermatology,10.1016/j.jid.2019.03.1165 ,"Oxidative stress is proven to be critical for the initiation and progression of vitiligo. Molecular hydrogen (H2) possesses potent antioxidant activity and has been shown to protect against various oxidative stress-related diseases. In this study, we first investigated the effects and mechanisms of H2 in human melanocytes damaged by hydrogen peroxide. We initially found that H2 reduced intracellular ROS accumulation and malondialdehyde levels in both vitiligo specimens and hydrogen peroxide-treated melanocytes in vitro in a concentration- and time-dependent manner, concomitant with the enhancement of antioxidant enzyme activity. Correspondingly, H2 reversed hydrogen peroxide-induced apoptosis and dysfunction in both normal and vitiligo melanocytes. H2 protected mitochondrial morphology and function in melanocytes under stress and promoted the activation of Nrf2 signaling, whereas Nrf2 deficiency abolished the protective effect of H2 against hydrogen peroxide-induced oxidative damage. Furthermore, H2 positively modulated β-catenin in hydrogen peroxide-treated melanocytes, and the β-catenin pathway was implicated in H2-induced Nrf2 activation. Collectively, our results indicate that H2 could be a promising therapeutic agent for vitiligo treatment via attenuating oxidative damage, and its beneficial effect in human melanocytes might involve Wnt/β-catenin-mediated activation of Nrf2 signaling. ",Positive,Cell Culture,Skin,Vitiligo,Oxidative Stress,Gas,N/A,Ventilation,,,China
62,"Guan, Wei-Jie","Wei, Chun-Hua; Chen, Ai-Lan; Sun, Xiao-Cong; Guo, Gaung-Yun; Zou, Xu; Shi, Jin-Dong; Lai, Pei-Zhen; Zheng, Ze-Guang","Zhong, Nan-Shan","Hydrogen/oxygen mixed gas inhalation improves disease severity and dyspnea in patients with Coronavirus disease 2019 in a recent multicenter, open-label clinical trial ",2020,Journal of Thoracic Disease,10.21037/jtd-2020-057 ,No abstract available,Positive,Human,Lung,SARS/COVID,Dyspnea,Gas,N/A,Inhalation,,Oxygen,China
63,"Gvozdjakova, Anna","Kucharska, Jarmila; Kura, Branislav; Vancova, Olga; Rausova, Zuzana; Sumbalova, Zuzana; Ulicna, Olga","Slezak, Jan",A new insight into the molecular hydrogen effect on coenzyme Q and mitochondrial function of rats ,2020,Canadian Journal of Physiology and Pharmacology,10.1139/cjpp-2019-0281 ,"Mitochondria are the major source of cellular energy metabolism. In the cardiac cells, mitochondria produce by way of the oxidative phosphorylation more than 90% of the energy supply in the form of ATP, which is utilized in many ATP-dependent processes, like cycling of the contractile proteins or maintaining ion gradients. Reactive oxygen species (ROS) are by-products of cellular metabolism and their levels are controlled by intracellular antioxidant systems. Imbalance between ROS and the antioxidant defense leads to oxidative stress and oxidative changes to cellular biomolecules. Molecular hydrogen (H2) has been proved as beneficial in the prevention and therapy of various diseases including cardiovascular disorders. It selectively scavenges hydroxyl radical and peroxynitrite, reduces oxidative stress, and has anti-inflammatory and anti-apoptotic effects. The effect of H2 on the myocardial mitochondrial function and coenzyme Q levels is not well known. In this paper, we demonstrated that consumption of H2-rich water (HRW) resulted in stimulated rat cardiac mitochondrial electron respiratory chain function and increased levels of ATP production by Complex I and Complex II substrates. Similarly, coenzyme Q9 levels in the rat plasma, myocardial tissue, and mitochondria were increased and malondialdehyde level in plasma was reduced after HRW administration. Based on obtained data, we hypothesize a new metabolic pathway of the H2 effect in mitochondria on the Q-cycle and in mitochondrial respiratory chain function. The Q-cycle contains three coenzyme Q forms: coenzyme Q in oxidized form (ubiquinone), radical form (semiquinone), or reduced form (ubiquinol). H2 may be a donor of both electron and proton in the Q-cycle and thus we can suppose stimulation of coenzyme Q production. When ubiquinone is reduced to ubiquinol, lipid peroxidation is reduced. Increased CoQ9 concentration can stimulate electron transport from Complex I and Complex II to Complex III and increase ATP production via mitochondrial oxidative phosphorylation. Our results indicate that H2 may function to prevent/treat disease states with disrupted myocardial mitochondrial function. ",Positive,Rat,Heart,Mitochondrial Function,Coenzyme Q,Water (Dissolved),Neutral,Gavage,,,Slovakia
64,"Hasegawa, Tomoya","Ito, Mikako; Hasegawa, Satoru; Takeda, Kouki; Nishiwaki, Hiroshi; Negishi, Shuto","Ohno, Kinji",Molecular Hydrogen Manages Mitochondrial Proteostatic Stress and Induces Cellular Response,2020,FASEB Journal,10.1096/fasebj.2020.34.s1.09226,"Molecular hydrogen (H2) has an anti‐oxidant effect on hundreds of animal models. However, the exact molecular mechanisms of molecular hydrogen still remains elusive. Mitochondrial unfolded protein response (mtUPR) is a known stress response to perturbed mitochondrial proteostasis caused by oxidative stress or mitochondrial dysfunction. We examined the effects of molecular hydrogen on mtUPR by examining mtUPR‐related protein expression in vivo and in vitro. Mice drinking hydrogen water showed higher expression of the HSP60 chaperone protein, which is an mtUPR marker, as well as other mtUPR‐related proteins including protein kinase R (PKR), phosphorylated eukaryotic translation initiation factor 2a (eIf2a), and activating transcription factor 5 (ATF5). Incubation of cultured cells in 10% hydrogen gas increased expression of HSP60 and some mtUPR‐related proteins in four human cell lines (A549, HeLa, HT1080, and PC3 cells, which are called “responders” hereafter), but not in three other human cell lines (HCT116, HepG2, and SH‐SY5Y cells, which are called “non‐responders”). Flowcytometric analysis disclosed that higher mitochondrial mass, higher superoxide production, higher mitochondrial membrane potential in “responders” compared to “non‐responders’. Similarly, measurement of the oxygen consumption rate revealed high spare capacity of the electron transport complex (ETC) activity in “responders”. Indeed, the gene set enrichment analysis (GSEA) of gene expression profiles in gene expression omnibus (GEO) of two groups of cell lines demonstrated that ETC‐related pathways were upregulated in “responders”. In addition, quantification of DNA synthesis by BrdU assay revealed that incubation of cultured cells in 10% hydrogen gas for 48 h induced cell proliferation, and rescued proliferation blockage by rotenone in “responders”. We report that hydrogen induces mtUPR and cellular proliferation in cell lines with higher mitochondrial ETC activity. Molecular hydrogen ameliorates a variety of diseases including Parkinson’s disease, myocardiac or cerebral infarction, and inflammatory diseases. Molecular hydrogen is thus likely to manage mitochondrial stress through activation of mtUPR, and exerts its effects on these oxidative stress‐related diseases.
",Positive,Cell Culture,Whole Body,Mitochondrial Function,Oxidative Stress,Gas,N/A,Ventilation,,,Japan
65,"Yu, Yang","Xie, K.L.; Bian, Y.X.; Wang, G.L.","Yu, Yong-Hao",Abstract: Protective effects of hydrogen-rich medium on high-glucose-induced oxidative stress and poly(ADP-ribose)polymerase-1-dependent cell death (parthanatos) in rat Schwann cells in vitro,2016,British Journal of Anaesthesia,https://academic.oup.com/bja/article/116/6/e912/2566337#44482609,No abstract available,Positive,Cell Culture,Whole Body,Diabetes,Oxidative Stress,Medium (Dissolved),Neutral,Culture Media,,,China
66,"Hori, Amane","Ichihara, Masatoshi; Kimura, Hayata; Ogata, Hisayoshi; Kondo, Takaharu","Hotta, Norio","Inhalation of molecular hydrogen increases breath acetone excretion during submaximal exercise: a randomized, single-blinded, placebo-controlled study ",2020,Medical Gas Research,10.4103/2045-9912.296038 ,"Aerobic exercise is widely accepted as a beneficial option for reducing fat in humans. Recently, it has been suggested that molecular hydrogen (H2) augments mitochondrial oxidative phosphorylation. Therefore, the hypothesis that inhaling H2 could facilitate lipid metabolism during aerobic exercise was investigated in the current study by measuring the breath acetone levels, which could be used as non-invasive indicators of lipid metabolism. This study aimed to investigate the effect of inhaling H2 on breath acetone output during submaximal exercise using a randomized, single-blinded, placebo-controlled, and cross-over experimental design. After taking a 20-minute baseline measurement, breath acetone levels were measured in ten male subjects who performed a 60% peak oxygen uptake-intensity cycling exercise for 20 minutes while inhaling either 1% H2 or a control gas. In another experiment, six male subjects remained in a sitting position for 45 minutes while inhaling either 1% H2 or a control gas. H2 significantly augmented breath acetone and enhanced oxygen uptake during exercise (P < 0.01). However, it did not significantly change oxidative stress or antioxidant activity responses to exercise, nor did it significantly alter the breath acetone or oxygen uptake during prolonged resting states. These results suggest that inhaling H2 gas promotes an exercise-induced increase in hepatic lipid metabolism. The study was approved by the Ethical Committee of Chubu University, Japan (approved No. 260086-2) on March 29, 2018. ",Positive,Human,Liver,Excercise,Lipid Metabolism,Gas,N/A,Inhalation,,,Japan
