First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Designation,Topic,Country
"Shirahata, Sanetaka",,,Reduced Water for Prevention of Diseases,2002,Animal Cell Technology: Basic and Applies Aspects,10.1007/978-94-017-0728-2_5,"Although water is a very stable substance, it is easily electrolyzed to produce hydrogen and oxygen molecules. Weak current produces only active hydrogen and hydrogen molecule without production of oxygen molecule. Active hydrogen is so small that almost all minerals adsorbs or absorbs it. These facts prompted us to propose “active hydrogen theory of reduced water”. We have demonstrated that electrolyzed reduced water (ERW) and ground waters such as Hita Tenryosui water in Japan, Nordenau water in Germany, Tracote water in Mexico, which are so called miracle water because of their improving activity on various diseases, are all antioxidative water containing active hydrogen and can scavenge intracellular reactive oxygen species (ROS). Reduced water stimulated glucose uptake into muscle and adipocyte cells as well as insulin. It also stimulated the secretion of insulin from pancreatic beta cells and improved the sugar tolerance damage in type 2 diabetes model mice. Reduced water impaired the tumor phenotypes such as rapid growth, anchorage independent growth in a soft agar, morphology, telomere maintenance, and abilities of invasion, metastasis, and angiogenesis. It activated the cancer immune systems, suppressing the tumor growth in vivo. Reduced water is expected for utilization for prevention and therapy of various diseases.",Review,Oxidative Stress/General Health,Japan
"Yagasaki, Kazumi","Miura, Yutaka; Hitori, Makoto","Nomura, Yoshihiro",Animal Cell Technology: Basic & Applied Aspects: Volume 13,2003,Springer,10.1007/978-94-017-0726-8,"Animal cell technology is a growing discipline of cell biology which aims not only to understand structures, functions and behaviors of differentiated animal cells, but also to ascertain their abilities to be used in industrial and medical purposes. The goal of animal cell technology includes accomplishments of clonal expansion of differentiated cells with useful ability, optimization of their culture conditions, modulation of their ability for production of medically and pharmaceutically important proteins and the application of animal cells to gene therapy, artificial organs and functional foods. This volume gives the readers a complete review of present state-of-the-art in Japan and other countries where this field is well advanced. The Proceedings will be useful for the cell biologists, biochemists, molecular biologists, immunologists, biochemical engineers and other disciplines related to animal cell culture, working in either academic environments or in industries of biotechnology and pharmacy. ",Book,Oxidative Stress/General Health,Japan
"Al-Haq, Muhammad Imran","Sugiyama, Junichi","Isobe, Seiichiro",Review Applications of Electrolyzed Water in Agriculture & Food Industries,2005,Food Science and Technology Research,10.3136/fstr.11.135,"Microbial control of postharvest diseases has been extensively studied and appears to be a viable technology. Food safety must be ensured at each postharvest processing step, including handling, washing of raw materials, cleaning of utensils and pipelines, and packaging. Several commercial products are available for this purpose. The time is ripe for developing new techniques and technologies. The use of electrolyzed water (EW) is the product of a new concept developed in Japan, which is now gaining popularity in other countries. Little is known about the principle behind its sterilizing e#ect, but it has been shown to have significant bactericidal and virucidal and moderate fungicidal properties. Some studies have been carried out in Japan, China, and the USA on the pre-and postharvest application of EW in the field of food processing. EW may be produced using common salt and an apparatus connected to a power source. As the size of the machine is quite small, the water can be manufactured on-site. Studies have been carried out on the use of EW as a sanitizer for fruits, utensils, and cutting boards. It can also be used as a fungicide during postharvest processing of fruits and vegetables, and as a sanitizer for washing the carcasses of meat and poultry. It is cost-e#ective and environment-friendly. The use of EW is an emerging technology with considerable potential.",Review,Disinfection/Sterilization,Japan
"Vorobjeva, N.V.",,,Selective stimulation of the growth of anaerobic microflora in the human intestinal tract by electrolyzed reducing water ,2005,Medical Hypotheses,10.1016/j.mehy.2004.07.038 ,"96-99% of the 'friendly' or residential microflora of intestinal tract of humans consists of strict anaerobes and only 1-4% of aerobes. Many diseases of the intestine are due to a disturbance in the balance of the microorganisms inhabiting the gut. The treatment of such diseases involves the restoration of the quantity and/or balance of residential microflora in the intestinal tract. It is known that aerobes and anaerobes grow at different oxidation-reduction potentials (ORP). The former require positive E(h) values up to +400 mV. Anaerobes do not grow unless the E(h) value is negative between -300 and -400 mV. In this work, it is suggested that prerequisite for the recovery and maintenance of obligatory anaerobic microflora in the intestinal tract is a negative ORP value of the intestinal milieu. Electrolyzed reducing water with E(h) values between 0 and -300 mV produced in electrolysis devices possesses this property. Drinking such water favours the growth of residential microflora in the gut. A sufficient array of data confirms this idea. However, most researchers explain the mechanism of its action by an antioxidant properties destined to detox the oxidants in the gut and other host tissues. Evidence is presented in favour of the hypothesis that the primary target for electrolyzed reducing water is the residential microflora in the gut. ",Hypothesis,Hydrogen Biology,Russia
"Williams, A.C.",,"Ramsden, D.B.",Hydrogen symbioses in evolution and disease ,2007,QJM: An International Journal of Medicine,10.1093/qjmed/hcm045 ,"Hydrogen is the source of energy that unites the metabolisms and fuels the innovative potentials of all living organisms. Autotrophs use hydrogen emitted into hydrothermal vents, where symbiotic communities that share hydrogen thrive. On the surface, life developed using photons to cleave water, releasing hydrogen carried into a reverse Krebs cycle to produce carbohydrates, from which hydrogen and its constituent electron and proton are extracted. Fluctuant electrogenic power is harnessed by extensive exchanges and symbiotic sharing schemes of hydrogen sources and carriers. These communicate with electrostatic nuclear centres, forming a positive feedback loop. If the proton-motive circuitry fails from loss of Redox potential, premature ageing and all-category disease can result. ",Review,Hydrogen Biology,United Kingdom
"Wood, Katherine C.",,"Gladwin, Mark T.",The hydrogen highway to reperfusion therapy,2007,Nature Medicine,10.1038/nm0607-673 ,Hydrogen gas debuts as a selective antioxidant with explosive potential as cytoprotective therapy for ischemia-reperfusion injury and stroke.,Editorial,Surgery/Transplantation,United States
"Hricova, D.","Stephan, R.","Zweifel, C.",Electrolyzed water and its application in the food industry ,2008,Journal of Food Protection,10.4315/0362-028x-71.9.1934 ,"Electrolyzed water (EW) is gaining popularity as a sanitizer in the food industries of many countries. By electrolysis, a dilute sodium chloride solution dissociates into acidic electrolyzed water (AEW), which has a pH of 2 to 3, an oxidation-reduction potential of >1,100 mV, and an active chlorine content of 10 to 90 ppm, and basic electrolyzed water (BEW), which has a pH of 10 to 13 and an oxidation-reduction potential of -800 to -900 mV. Vegetative cells of various bacteria in suspension were generally reduced by > 6.0 log CFU/ml when AEW was used. However, AEW is a less effective bactericide on utensils, surfaces, and food products because of factors such as surface type and the presence of organic matter. Reductions of bacteria on surfaces and utensils or vegetables and fruits mainly ranged from about 2.0 to 6.0 or 1.0 to 3.5 orders of magnitude, respectively. Higher reductions were obtained for tomatoes. For chicken carcasses, pork, and fish, reductions ranged from about 0.8 to 3.0, 1.0 to 1.8, and 0.4 to 2.8 orders of magnitude, respectively. Considerable reductions were achieved with AEW on eggs. On some food commodities, treatment with BEW followed by AEW produced higher reductions than did treatment with AEW only. EW technology deserves consideration when discussing industrial sanitization of equipment and decontamination of food products. Nevertheless, decontamination treatments for food products always should be considered part of an integral food safety system. Such treatments cannot replace strict adherence to good manufacturing and hygiene practices. ",Review,Disinfection/Sterilization,Switzerland
"Huang, Yu-Ru","Hung, Yen-Con; Hsu, Shun-Yao; Huang, Yao-Wen","Hwang, Deng-Fwu",Application of electrolyzed water in the food industry,2008,Food Control,10.1016/j.foodcont.2007.08.012,"Electrolyzed oxidizing (EO) water has been regarded as a new sanitizer in recent years. Production of EO water needs only water and salt (sodium chloride). EO water have the following advantages over other traditional cleaning agents: effective disinfection, easy operation, relatively inexpensive, and environmentally friendly. The main advantage of EO water is its safety. EO water which is also a strong acid, is different to hydrochloric acid or sulfuric acid in that it is not corrosive to skin, mucous membrane, or organic material. Electrolyzed water has been tested and used as a disinfectant in the food industry and other applications. Combination of EO water and other measures are also possible. This review includes a brief overview of issues related to the electrolyzed water and its effective cleaning of food surfaces in food processing plants and the cleaning of animal products and fresh produce.",Review,Disinfection/Sterilization,Taiwan
"Sun, Xue-Jun",,,Hydrogen-an endogenous antioxidant in the body ,2008,Academic Journal of Second Military Medical University,10.3724/SP.J.1008.2008.00233,"Recently,Ohsawa et al. provide evidence that inhaled hydrogen gas has antioxidant and antiapoptotic activities that protect the brain and liver against ischemia-reperfusion injury. In fact,there is some endogenous hydrogen produced by intestinal bacteria within animal and human.The concentration of hydrogen in some mice tissues reached the antioxidant effect in their paper demonstrates,so we think that hydrogen should be an endogenous antioxidant in the body.",Editorial,Hydrogen Biology,China
"Ohta, Shigeo",,,Hydrogen gas and hydrogen water act as a therapeutic and preventive antioxidant with a novel concept,2008,Japanese Journal of Geriatrics,10.3143/geriatrics.45.439,No abstract available,Review,Oxidative Stress/General Health,Japan
"Suzuki, Yoshihiko","Sano, Motoaki; Hayashida, Kentaro; Ohsawa, Ikuroh; Ohta, Shigeo","Fukuda, Keiichi",Are the effects of α-glucosidase inhibitors on cardiovascular events related to elevated levels of hydrogen gas in the gastrointestinal tract?,2009,FEBS Letters,10.1016/j.febslet.2009.05.052,"The major side-effect of treatment with alpha-glucosidase inhibitors, flatulence, occurs when undigested carbohydrates are fermented by colonic bacteria, resulting in gas formation. We propose that the cardiovascular benefits of alpha-glucosidase inhibitors are partly attributable to their ability to neutralise oxidative stress via increased production of H(2) in the gastrointestinal tract. Acarbose, which is an alpha-glucosidase inhibitor, markedly increased H(2) production, with a weaker effect on methane production. Our hypothesis is based on our recent discovery that H(2) acts as a unique antioxidant, and that when inhaled or taken orally as H(2)-dissolved water it ameliorates ischaemia-reperfusion injury and atherosclerosis development.",Hypothesis,Hydrogen Biology,Japan
"Nakao, Atsunori","Sugimoto, Ryujiro; Billiar, Timothy R.","McCurry, Kenneth R.",Therapeutic antioxidant medical gas ,2009,Journal of Clinical Biochemistry and Nutrition,10.3164/jcbn.08-193R ,"Medical gases are pharmaceutical gaseous molecules which offer solutions to medical needs and include traditional gases, such as oxygen and nitrous oxide, as well as gases with recently discovered roles as biological messenger molecules, such as carbon monoxide, nitric oxide and hydrogen sulphide. Medical gas therapy is a relatively unexplored field of medicine; however, a recent increasing in the number of publications on medical gas therapies clearly indicate that there are significant opportunities for use of gases as therapeutic tools for a variety of disease conditions. In this article, we review the recent advances in research on medical gases with antioxidant properties and discuss their clinical applications and therapeutic properties. ",Review,Oxidative Stress/General Health,United States
"Wei, Zhang","Cai, Jian-Mei; Kang, Zhi-Min","Sun, Xue-Jun",Medical application of hydrogen molecule: Recent progress,2009,Academic Journal of Second Military Medical University,10.3724/SP.J.1008.2009.01203,The biological role of hydrogen molecule has been misunderstood in some cases. Recent studies have indicated that hydrogen molecule is a promising selective antioxidant and has prominent therapeutic effects on many disorders. This paper reviews the recent progress on medical application of hydrogen molecule and proposes the possible research directions.,Review,Oxidative Stress/General Health,China
"Shen, Mei-Hua","He, Jian; Cai, Jianmei; Sun, Qiang; Sun, Xuejun","Huo, Zhenglu",Hydrogen as a novel and effective treatment of acute carbon monoxide poisoning,2010,Medical Hypotheses,10.1016/j.mehy.2010.02.029,"Hydrogen is a major component of interstellar space and the fuel that sustains the stars. However, it is seldom regarded as a therapeutic gas. A recent study provided evidence that hydrogen inhalation exerted antioxidant and anti-apoptotic effects and protected the brain against ischemia-reperfusion injury by selectively reducing hydroxyl radical and peroxynitrite. It has been known that the mechanisms underlying the brain injury after acute carbon monoxide poisoning are interwoven with multiple factors including oxidative stress, free radicals, and neuronal nitric oxide synthase as well as abnormal inflammatory responses. Studies have shown that free radical scavengers can improve the neural damage. Based on the findings abovementioned, we hypothesize that hydrogen therapy may be an effective, simple, economic and novel strategy in the treatment of acute carbon monoxide poisoning.",Hypothesis,Brain Health,China
"Schibilisky, David","Beyersdorf, Friedhelm","Goebel, Ulrich","Re: Amelioration of rat cardiac cold ischemia/reperfusion injury with inhaled hydrogen or carbon monoxide, or both",2010,Journal of Heart and Lung Transplantation,10.1016/j.healun.2010.07.009,No abstract available,Editorial,Cardiopulmonary Health,Germany
"Nakamura, Noriko","Lin, Henry C.; McSweeney, Christopher S.; Mackie, Roderick, I.","Gaskins, H. Rex",Mechanisms of Microbial Hydrogen Disposal in the Human Colon and Implications for Health and Disease,2010,Annual Review of Food Science and Techology,10.1146/annurev.food.102308.124101,"In the human gastrointestinal tract, dietary components, including fiber, that reach the colon are fermented principally to short-chain fatty acids, hydrogen, and carbon dioxide. Microbial disposal of the hydrogen generated during anaerobic fermentation in the human colon is critical to optimal functioning of this ecosystem. However, our understanding of microbial hydrogenotrophy is fragmented and, at least as it occurs in the colon, is mostly theoretical in nature. Thorough investigation and integration of knowledge on the diversity of hydrogenotrophic microbes, their metabolic variation and activities as a functional group, as well as the nature of their interactions with fermentative bacteria, are necessary to understand hydrogen metabolism in the human colon. Here, we review the limited data available on the three major groups of H(2)-consuming microorganisms found in the human colon [methanogens, sulfate-reducing bacteria (SRB), and acetogens] as well as evidence that end products of their metabolism have an important impact on colonic health.",Review,Hydrogen Biology,United States
"George, James F.",,"Agarwal, Anupam",Hydrogen: another gas with therapeutic potential ,2010,Kidney International,10.1038/ki.2009.432 ,"Cardinal and colleagues describe the use of molecular hydrogen, the most abundant molecule in the universe, as a treatment for chronic allograft nephropathy (CAN) in a rat model of kidney transplantation. They demonstrate that the addition of hydrogen to the drinking water results in a decrease in the severity of CAN and increased graft survival, and they provide evidence that the mechanism of action could be due to a reduction in reactive oxygen species. ",Editorial,Oxidative Stress/General Health,United States
"Hong, Y.","Chen, S.","Zhang, J.-M.",Hydrogen as a Selective Antioxidant: A Review of Clinical and Experimental Studies,2010,Journal of International Medical Research,10.1177/147323001003800602,"Oxidative stress is implicated in the pathogenesis of many diseases; however, currently used antioxidants have a high toxicity that constrains administration to a narrow window of therapeutic dosage. There is a clear need for more effective and safer antioxidants. Diatomic hydrogen (H(2)) was proposed as a novel antioxidant that selectively reduces levels of toxic reactive-oxygen species. Recently, many studies have reported that H(2) (inhaled or orally ingested, typically as approximately 0.8 mM H(2)-saturated water), can exert beneficial effects in diverse animal models of ischaemia-reperfusion injury, and inflammatory and neurological disease. In the clinic, oral administration of H(2)-saturated water is reported to improve lipid and glucose metabolism in subjects with diabetes or impaired glucose tolerance; promising results have also been obtained in reducing inflammation in haemodialysis patients and treating metabolic syndrome. These studies suggest H(2) has selective antioxidant properties, and can exert antiapoptotic, antiinflammatory and antiallergy effects. This review summarizes recent research findings and mechanisms concerning the therapeutic potential of H(2).",Review,Oxidative Stress/General Health,China
"Huang, Chien-Sheng","Kawamura, Tomohiro; Toyoda, Yoshiya","Nakao, Atsunori",Recent Advances in Hydrogen Research as a Therapeutic Medical Gas,2010,Free Radical Research,10.3109/10715762.2010.500328,"Recent basic and clinical research has revealed that hydrogen is an important physiological regulatory factor with antioxidant, anti-inflammatory and anti-apoptotic protective effects on cells and organs. Therapeutic hydrogen has been applied by different delivery methods including straightforward inhalation, drinking hydrogen dissolved in water and injection with hydrogen-saturated saline. This review summarizes currently available data regarding the protective role of hydrogen, provides an outline of recent advances in research on the use of hydrogen as a therapeutic medical gas in diverse models of disease and discusses the feasibility of hydrogen as a therapeutic strategy. It is not an overstatement to say that hydrogen's impact on therapeutic and preventive medicine could be enormous in the future.",Review,Oxidative Stress/General Health,Taiwan
"Liu, Cong","Cui, Jianguo; Sun, Quan","Cai, Jianming",Hydrogen therapy may be an effective and specific novel treatment for acute radiation syndrome,2010,Medical Hypotheses,10.1016/j.mehy.2009.07.017,"Hydrogen is the most abundant chemical element in the universe, however, it is seldom regarded as a therapeutic gas. Recent studies show that inhaled hydrogen gas (H(2)) has antioxidant and antiapoptotic activities that protect the brain against ischemia-reperfusion injury and stroke by selectively reducing hydroxyl and peroxynitrite radicals. It is also well known that more than a half of the ionizing radiation-induced cellular damage is caused by hydroxyl radicals. Studies have show that reducing hydroxyl radicals can significantly improve the protection of cells from radiation damage. In like manner, we hypothesize that hydrogen therapy may be an effective, specific and unique treatment for acute radiation syndrome.",Hypothesis,Radioprotection,China
"Qian, Li-Ren","Li, Bailong; Cai, Jianming","Gao, Fu",The hypothesis of an effective safe and novel radioprotective agent: hydrogen-rich solution ,2010,West Indian Medical Journal,21275114,"Most ionizing radiation-induced damage is caused by radical oxygen species (ROS). Some radioprotectors, such as amifostine, exert radioprotective effects by scavenging radical oxygen species. Recent studies show that hydrogen (H) has antioxidant activities that protect the brain and intestine against ischaemia-reperfusion injury and stroke by selectively reducing hydroxyl and peroxynitrite radicals. However it is seldom regarded as a radioprotective agent. In like manner we hypothesize that hydrogen may be an effective, specific and novel radioprotective agent. But H2 is explosive, while hydrogen-rich solution (solution such as physiological saline saturated with molecular hydrogen) is safer. ",Hypothesis,Radioprotection,China
"Liu, Wenwu","Khatibi, Nikan; Sridharan, Aishwarya","Zhang, John H.",Application of medical gases in the field of neurobiology,2011,Medical Gas Research,10.1186/2045-9912-1-13,"Medical gases are pharmaceutical molecules which offer solutions to a wide array of medical needs. This can range from use in burn and stroke victims to hypoxia therapy in children. More specifically however, gases such as oxygen, helium, xenon, and hydrogen have recently come under increased exploration for their potential theraputic use with various brain disease states including hypoxia-ischemia, cerebral hemorrhages, and traumatic brain injuries. As a result, this article will review the various advances in medical gas research and discuss the potential therapeutic applications and mechanisms with regards to the field of neurobiology.",Review,Brain Health,China
"Liu, Shu-Lin","Liu, Kan; Sun, Qiang; Liu, Wen-Wu; Tao, Heng-Yi","Sun, Xue-Jun",Hydrogen Therapy may be a Novel and Effective Treatment for COPD,2011,Frontiers in Pharmacology,10.3389/fphar.2011.00019,"The protective effect of hydrogen (H(2)) on ROS-induced diseases has been proved by many researches, which demonstrated that through eliminating •OH and •ONOO-, H(2) could effectively attenuate lipid and DNA peroxidation, improve cellular antioxidant capacity, and then protect cells against oxidant damage. Most of free radicals in human body are ROS, including O(2)•-,•OH, H(2)O(2), NO•,•ONOO-, and so on. Under normal circumstances cells are able to maintain an adequate homeostasis between the formation and removal of ROS through particular enzymatic pathways or antioxidants. But under some pathological conditions, the balance is disturbed, leading to oxidative stress and various diseases, such as chronic obstructive pulmonary disease (COPD). Studies have shown that ROS played a pivotal role in the development of COPD and some antioxidants were effective in the protection against the damaging effects of oxidative stress. Therefore, we hypothesize that owing to its peculiarity to eliminate toxic ROS, hydrogen therapy may be a novel and effective treatment for COPD.",Hypothesis,Cardiopulmonary Health,China
"Shen, Yongchun","Yang, Ting; Wang, Tao","Wen, Fuqiang",Hydrogen gas: A novel antioxidant for chronic obstructive pulmonary disease?,2011,Journal of Medical Colleges of PLA,10.1016/S1000-1948(11)60031-2,"Oxidative stress plays critical role in the pathogenesis of chronic obstructive pulmonary disease (COPD), so therapy targeted on oxidative stress is of great importance for COPD. However, since the current used antioxidants are not satisfying, scientists have to find more effective antioxidants for COPD. Hydrogen, the most abundant chemical element in the universe, was recently discovered as a novel therapeutic medical gas, and has shown great antioxidant potential in a series of recent published researches for its feature of selectively reducing toxic reactive oxygen species. Based on these findings, we hypothesize that hydrogen gas therapy might be a novel, effective, safe, and economic treatment for COPD patients in one day.",Hypothesis,Cardiopulmonary Health,China
"Chen, Xiao","Zuo, Qiao; Hai, Yuedong","Sun, Xue-Jun",Lactulose: An indirect antioxidant ameliorating inflammatory bowel disease by increasing hydrogen production,2011,Medical Hypotheses,10.1016/j.mehy.2010.09.026,"Lactulose, which cannot be digested and absorbed by body, is clinically widely used to treat constipation and hepatic encephalopathy. Fermented by gastrointestinal tract bacteria, lactulose can produce considerable amount of hydrogen, which is protective for DSS-induced colitis as a unique antioxidant. We propose that lactulose is an indirect antioxidant that mobilizes endogenous hydrogen production which in turn can reduce oxidative stress and ameliorate symptoms of inflammatory bowel disease in human beings.",Review,Intestinal Health,China
